#qTcut         central scale                 minimum (equal)               maximum (equal)               
#              xiR=1  xiF=1                  xiR=2  xiF=2                  xiR=0.5  xiF=0.5              µR=xiR*mWbb  µF=xiF*mWbb
0              23911.891      8.2784444      20567.014      6.6312044      28373.375      10.558615      
0.01           23921.724      9.5387621      20575.040      7.6058800      28385.586      12.208035               -13.99%          18.66%
0.02           23926.264      8.5214036      20578.615      6.7987686      28391.468      10.903557               -13.99%          18.66%
0.03           23929.753      8.0138880      20581.441      6.3958767      28395.854      10.253775               -13.99%          18.66%
0.04           23932.922      7.6793322      20583.994      6.1303578      28399.850      9.8255070               -13.99%          18.66%
0.05           23936.789      7.4317795      20587.059      5.9339704      28404.824      9.5085649               -13.99%          18.67%
0.06           23942.906      7.2365974      20591.946      5.7791847      28412.612      9.2586367               -14.00%          18.67%
0.07           23947.966      7.0758369      20596.043      5.6517589      28418.961      9.0527136               -14.00%          18.67%
0.08           23951.225      6.9397104      20598.670      5.5438786      28423.069      8.8783488               -14.00%          18.67%
0.09           23955.796      6.8218524      20602.378      5.4505092      28428.794      8.7273531               -14.00%          18.67%
0.1            23960.167      6.7180598      20605.903      5.3683081      28434.305      8.5943521               -14.00%          18.67%
0.11           23965.908      6.6256599      20610.501      5.2951371      28441.600      8.4759578               -14.00%          18.68%
0.12           23971.442      6.5423761      20614.923      5.2292009      28448.649      8.3692308               -14.00%          18.68%
0.13           23975.781      6.4665021      20618.441      5.1691559      28454.084      8.2719648               -14.00%          18.68%
0.14           23979.570      6.3969240      20621.533      5.1141105      28458.798      8.1827491               -14.00%          18.68%
0.15           23983.349      6.3329093      20624.567      5.0634626      28463.584      8.1006866               -14.00%          18.68%
0.16           23988.127      6.2735234      20628.422      5.0164943      28469.607      8.0245340               -14.01%          18.68%
0.17           23992.376      6.2182235      20631.839      4.9727620      28474.983      7.9536215               -14.01%          18.68%
0.18           23997.932      6.1664748      20636.286      4.9318520      28482.052      7.8872414               -14.01%          18.69%
0.19           24002.112      6.1178997      20639.681      4.8934551      28487.275      7.8249331               -14.01%          18.69%
0.2            24006.947      6.0721183      20643.622      4.8572784      28493.292      7.7661903               -14.01%          18.69%
0.21           24011.318      6.0288637      20647.159      4.8230980      28498.782      7.7106968               -14.01%          18.69%
0.22           24014.709      5.9877912      20649.906      4.7906468      28503.036      7.6579997               -14.01%          18.69%
0.23           24018.926      5.9487730      20653.335      4.7598318      28508.304      7.6079170               -14.01%          18.69%
