qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            0.5                 NLO.QCD                                                              46133.38771 +-         2.64467
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            0.5                 LO.22                                                                17761.67126 +-         0.76310
independent    0.5            0.5                 NLO.CS.32                                                            28371.71645 +-         2.53219

independent    1              1                   NLO.QCD                                                              39470.42077 +-         2.20225
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                15558.85047 +-         0.66800
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    2              2                   NLO.QCD                                                              34288.11805 +-         1.91492
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              2                   LO.22                                                                13720.56490 +-         0.58927
independent    2              2                   NLO.CS.32                                                            20567.55315 +-         1.82200

=====================================================================================================================================================

