qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            0.5                 dNLO.QCD                                                             28371.71645 +-         2.53219
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            0.5                 NLO.CS.32                                                            28371.71645 +-         2.53219

independent    1              1                   dNLO.QCD                                                             23911.57029 +-         2.09849
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    2              2                   dNLO.QCD                                                             20567.55315 +-         1.82200
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              2                   NLO.CS.32                                                            20567.55315 +-         1.82200

=====================================================================================================================================================

