qTcut          mu_R/GAo2      mu_F/GAo2      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            0.5                 NLO.QCD                                                                     -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            0.5                 LO.22                                                                       -nan +-            -nan
independent    0.5            0.5                 NLO.CS.32                                                                   -nan +-            -nan

independent    1              1                   NLO.QCD                                                                     -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                       -nan +-            -nan
independent    1              1                   NLO.CS.32                                                                   -nan +-            -nan

independent    2              2                   NLO.QCD                                                                     -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              2                   LO.22                                                                       -nan +-            -nan
independent    2              2                   NLO.CS.32                                                                   -nan +-            -nan

=====================================================================================================================================================

