qTcut          mu_R/GAo2      mu_F/GAo2      XS +- err (dNNLO.QCD)             

extrapolation  0.5            0.5            -nan            +- -nan           
extrapolation  1              1              -nan            +- -nan           
extrapolation  2              2              -nan            +- -nan           

0.01           0.5            0.5            -nan            +- -nan           
0.01           1              1              -nan            +- -nan           
0.01           2              2              -nan            +- -nan           

0.02           0.5            0.5            -nan            +- -nan           
0.02           1              1              -nan            +- -nan           
0.02           2              2              -nan            +- -nan           

0.03           0.5            0.5            -nan            +- -nan           
0.03           1              1              -nan            +- -nan           
0.03           2              2              -nan            +- -nan           

0.04           0.5            0.5            -nan            +- -nan           
0.04           1              1              -nan            +- -nan           
0.04           2              2              -nan            +- -nan           

0.05           0.5            0.5            -nan            +- -nan           
0.05           1              1              -nan            +- -nan           
0.05           2              2              -nan            +- -nan           

0.06           0.5            0.5            -nan            +- -nan           
0.06           1              1              -nan            +- -nan           
0.06           2              2              -nan            +- -nan           

0.07           0.5            0.5            -nan            +- -nan           
0.07           1              1              -nan            +- -nan           
0.07           2              2              -nan            +- -nan           

0.08           0.5            0.5            -nan            +- -nan           
0.08           1              1              -nan            +- -nan           
0.08           2              2              -nan            +- -nan           

0.09           0.5            0.5            -nan            +- -nan           
0.09           1              1              -nan            +- -nan           
0.09           2              2              -nan            +- -nan           

0.1            0.5            0.5            -nan            +- -nan           
0.1            1              1              -nan            +- -nan           
0.1            2              2              -nan            +- -nan           

0.11           0.5            0.5            -nan            +- -nan           
0.11           1              1              -nan            +- -nan           
0.11           2              2              -nan            +- -nan           

0.12           0.5            0.5            -nan            +- -nan           
0.12           1              1              -nan            +- -nan           
0.12           2              2              -nan            +- -nan           

0.13           0.5            0.5            -nan            +- -nan           
0.13           1              1              -nan            +- -nan           
0.13           2              2              -nan            +- -nan           

0.14           0.5            0.5            -nan            +- -nan           
0.14           1              1              -nan            +- -nan           
0.14           2              2              -nan            +- -nan           

0.15           0.5            0.5            -nan            +- -nan           
0.15           1              1              -nan            +- -nan           
0.15           2              2              -nan            +- -nan           

0.16           0.5            0.5            -nan            +- -nan           
0.16           1              1              -nan            +- -nan           
0.16           2              2              -nan            +- -nan           

0.17           0.5            0.5            -nan            +- -nan           
0.17           1              1              -nan            +- -nan           
0.17           2              2              -nan            +- -nan           

0.18           0.5            0.5            -nan            +- -nan           
0.18           1              1              -nan            +- -nan           
0.18           2              2              -nan            +- -nan           

0.19           0.5            0.5            -nan            +- -nan           
0.19           1              1              -nan            +- -nan           
0.19           2              2              -nan            +- -nan           

0.2            0.5            0.5            -nan            +- -nan           
0.2            1              1              -nan            +- -nan           
0.2            2              2              -nan            +- -nan           

0.21           0.5            0.5            -nan            +- -nan           
0.21           1              1              -nan            +- -nan           
0.21           2              2              -nan            +- -nan           

0.22           0.5            0.5            -nan            +- -nan           
0.22           1              1              -nan            +- -nan           
0.22           2              2              -nan            +- -nan           

0.23           0.5            0.5            -nan            +- -nan           
0.23           1              1              -nan            +- -nan           
0.23           2              2              -nan            +- -nan           

0.24           0.5            0.5            -nan            +- -nan           
0.24           1              1              -nan            +- -nan           
0.24           2              2              -nan            +- -nan           

0.25           0.5            0.5            -nan            +- -nan           
0.25           1              1              -nan            +- -nan           
0.25           2              2              -nan            +- -nan           

0.26           0.5            0.5            -nan            +- -nan           
0.26           1              1              -nan            +- -nan           
0.26           2              2              -nan            +- -nan           

0.27           0.5            0.5            -nan            +- -nan           
0.27           1              1              -nan            +- -nan           
0.27           2              2              -nan            +- -nan           

0.28           0.5            0.5            -nan            +- -nan           
0.28           1              1              -nan            +- -nan           
0.28           2              2              -nan            +- -nan           

0.29           0.5            0.5            -nan            +- -nan           
0.29           1              1              -nan            +- -nan           
0.29           2              2              -nan            +- -nan           

0.3            0.5            0.5            -nan            +- -nan           
0.3            1              1              -nan            +- -nan           
0.3            2              2              -nan            +- -nan           

0.31           0.5            0.5            -nan            +- -nan           
0.31           1              1              -nan            +- -nan           
0.31           2              2              -nan            +- -nan           

0.32           0.5            0.5            -nan            +- -nan           
0.32           1              1              -nan            +- -nan           
0.32           2              2              -nan            +- -nan           

0.33           0.5            0.5            -nan            +- -nan           
0.33           1              1              -nan            +- -nan           
0.33           2              2              -nan            +- -nan           

0.34           0.5            0.5            -nan            +- -nan           
0.34           1              1              -nan            +- -nan           
0.34           2              2              -nan            +- -nan           

0.35           0.5            0.5            -nan            +- -nan           
0.35           1              1              -nan            +- -nan           
0.35           2              2              -nan            +- -nan           

0.36           0.5            0.5            -nan            +- -nan           
0.36           1              1              -nan            +- -nan           
