#qTcut         xiR=0.5  xiF=0.5              xiR=0.5  xiF=1                xiR=1  xiF=0.5                xiR=1  xiF=1                  xiR=1  xiF=2                  xiR=2  xiF=1                  xiR=2  xiF=2                  µR=xiR*mWbb  µF=xiF*mWbb
0.36           72444.584      34.157240      73783.788      35.801036      61651.815      23.130172      63129.999      24.133453      64242.012      25.077515      54436.333      17.143585      55595.271      17.757338      
0.37           72446.617      34.128369      73786.485      35.769506      61654.123      23.109678      63132.916      24.111060      64245.475      25.053394      54439.087      17.126547      55598.505      17.738956      
0.38           72445.651      34.089163      73785.706      35.729223      61654.095      23.082580      63133.151      24.082884      64245.926      25.024267      54439.733      17.105626      55599.386      17.717125      
0.39           72444.389      34.067426      73784.887      35.704025      61653.872      23.066344      63133.360      24.064207      64246.520      25.003229      54440.361      17.090959      55600.364      17.700690      
0.4            72438.915      34.080675      73779.555      35.718560      61650.752      23.074744      63130.479      24.073290      64243.843      25.012847      54438.798      17.095912      55599.032      17.705840      
0.41           72439.040      34.007486      73780.205      35.638874      61651.438      23.024498      63131.676      24.018422      64245.496      24.954517      54440.114      17.056607      55600.761      17.663919      
0.42           72431.695      34.010626      73772.433      35.644327      61647.416      23.023638      63127.541      24.018579      64241.264      24.955649      54437.894      17.054114      55598.576      17.661775      
0.43           72421.862      34.165129      73762.903      35.793938      61641.405      23.134141      63121.876      24.126659      64235.915      25.060023      54434.410      17.131720      55595.400      17.737156      
0.44           72424.110      33.942369      73765.729      35.570992      61643.761      22.977481      63124.786      23.968775      64239.293      24.902121      54437.071      17.017843      55598.487      17.622669      
0.45           72425.770      33.907858      73767.978      35.533746      61645.146      22.953605      63126.705      23.942988      64241.660      24.874375      54438.679      16.998850      55600.494      17.602221      
0.46           72421.115      33.936160      73763.478      35.563669      61642.975      22.967189      63124.795      23.957324      64239.987      24.889045      54438.028      17.005054      55600.102      17.608444      
0.47           72424.009      33.987516      73766.712      35.629505      61645.231      22.998539      63127.425      23.997730      64242.945      24.937779      54440.168      17.029902      55602.560      17.638641      
0.48           72426.901      34.088435      73770.123      35.732879      61647.661      23.064043      63130.346      24.064803      64246.295      25.005847      54442.610      17.074113      55605.388      17.683435      
0.49           72425.860      33.819430      73769.352      35.439865      61647.478      22.890378      63130.481      23.875233      64246.717      24.802644      54443.129      16.946758      55606.192      17.546691      
0.5            72429.037      33.792783      73773.500      35.412951      61650.103      22.871565      63133.883      23.856033      64250.784      24.782973      54445.891      16.932225      55609.498      17.531671      
0.51           72423.360      33.771234      73767.865      35.387822      61646.931      22.856603      63130.938      23.838569      64248.055      24.763290      54444.354      16.919195      55608.229      17.516995      
0.52           72419.147      33.764922      73764.405      35.379971      61644.596      22.850773      63129.250      23.831526      64246.945      24.755170      54443.570      16.912785      55607.936      17.509686      
0.53           72426.201      33.730044      73771.842      35.346598      61649.605      22.826175      63134.659      23.807691      64252.676      24.731904      54447.619      16.894905      55612.299      17.492029      
0.54           72424.517      33.856154      73769.878      35.452198      61649.050      22.898012      63134.091      23.867458      64252.137      24.781278      54447.679      16.929780      55612.480      17.520380      
0.55           72418.827      33.691197      73764.659      35.305500      61645.972      22.798676      63131.486      23.778299      64249.938      24.700713      54446.415      16.872424      55611.597      17.468010      
0.56           72419.744      33.712959      73766.718      35.315636      61646.800      22.808933      63133.188      23.781541      64252.409      24.698819      54447.811      16.872156      55613.600      17.464398      
0.57           72419.508      33.657096      73766.740      35.268054      61646.933      22.773729      63133.655      23.750895      64253.181      24.671040      54448.403      16.851093      55614.502      17.444893      
0.58           72415.002      33.632258      73762.733      35.240987      61644.548      22.756583      63131.760      23.732125      64251.732      24.650891      54447.570      16.837248      55614.076      17.429975      
0.59           72416.535      33.629577      73764.554      35.238061      61645.684      22.753133      63133.249      23.728303      64253.528      24.646673      54448.770      16.833061      55615.588      17.425365      
0.6            72408.795      33.633599      73757.421      35.238619      61640.832      22.754946      63128.951      23.727675      64249.742      24.643843      54446.057      16.831554      55613.322      17.422223      
0.61           72408.275      33.608021      73757.589      35.215951      61640.634      22.736145      63129.360      23.710559      64250.690      24.628140      54446.520      16.818136      55614.250      17.409615      
0.62           72409.806      33.571749      73759.451      35.178388      61642.102      22.712000      63131.186      23.685359      64252.839      24.602090      54448.130      16.800215      55616.169      17.390962      
0.63           72411.136      33.578316      73761.174      35.186994      61643.273      22.714027      63132.764      23.688433      64254.760      24.605599      54449.483      16.800385      55617.851      17.391261      
0.64           72406.954      33.526439      73757.401      35.134612      61640.831      22.680998      63130.768      23.654820      64253.167      24.571421      54448.409      16.777465      55617.161      17.367792      
0.65           72409.347      33.552057      73760.781      35.159953      61642.653      22.695258      63133.379      23.668757      64256.464      24.584827      54450.429      16.784909      55619.739      17.374765      
0.66           72410.029      33.523386      73761.665      35.129319      61643.282      22.676430      63134.291      23.648397      64257.604      24.563269      54451.256      16.770508      55620.818      17.359378      
0.67           72410.042      33.497279      73762.172      35.104850      61643.789      22.657815      63135.286      23.630663      64259.032      24.546366      54452.358      16.757049      55622.317      17.346342      
0.68           72405.397      33.463010      73757.980      35.068764      61640.708      22.635505      63132.632      23.607016      64256.781      24.521379      54450.578      16.740536      55620.896      17.328807      
0.69           72406.105      33.449103      73759.263      35.053729      61641.262      22.625037      63133.708      23.595695      64258.307      24.509299      54451.453      16.731579      55622.170      17.319232      
0.7            72399.247      33.448265      73752.752      35.050851      61636.961      22.622867      63129.790      23.592117      64254.738      24.504445      54448.973      16.727759      55620.024      17.314463      
0.71           72399.505      33.441168      73753.612      35.044133      61637.267      22.618139      63130.634      23.587237      64256.047      24.499352      54449.713      16.723783      55621.175      17.310117      
0.72           72394.155      33.439203      73748.344      35.044038      61633.953      22.614713      63127.513      23.584983      64253.106      24.497995      54447.765      16.720527      55619.436      17.307397      
0.73           72396.244      33.485904      73750.855      35.076240      61635.417      22.640604      63129.409      23.602071      64255.334      24.507472      54449.198      16.729468      55621.194      17.311424      
0.74           72390.083      33.396270      73745.303      34.996525      61631.442      22.585359      63125.964      23.552365      64252.367      24.462599      54446.943      16.696746      55619.349      17.281512      
0.75           72395.033      33.415337      73750.956      35.012071      61634.959      22.593701      63130.103      23.558653      64257.035      24.466848      54450.043      16.698448      55622.912      17.281905      
0.76           72387.788      33.384871      73744.249      34.986594      61630.239      22.574485      63125.880      23.542124      64253.282      24.452860      54447.240      16.686860      55620.522      17.271732      
0.77           72384.379      33.357395      73741.099      34.957708      61628.175      22.556416      63124.148      23.523024      64251.854      24.432805      54446.238      16.673383      55619.829      17.257514      
0.78           72382.649      33.337959      73739.832      34.937936      61627.014      22.542918      63123.434      23.509164      64251.542      24.418490      54445.797      16.663064      55619.751      17.246783      
0.79           72375.450      33.384283      73732.695      34.987292      61622.194      22.570047      63118.798      23.538005      64247.084      24.448719      54442.612      16.680289      55616.778      17.264784      
0.8            72376.333      33.337283      73734.452      34.936692      61622.831      22.538988      63120.140      23.504597      64249.045      24.413357      54443.621      16.657090      55618.295      17.240221      
0.81           72376.780      33.345694      73735.457      34.948474      61623.100      22.543147      63120.928      23.510676      64250.268      24.420981      54444.227      16.659870      55619.295      17.243881      
0.82           72366.092      33.377269      73724.758      34.980212      61616.163      22.562502      63114.146      23.530170      64243.638      24.440465      54439.716      16.671862      55614.988      17.255838      
0.83           72364.714      33.309272      73723.958      34.903372      61615.405      22.517502      63113.909      23.479448      64243.852      24.385081      54439.701      16.637028      55615.372      17.217815      
0.84           72365.160      33.305306      73724.594      34.894696      61615.608      22.515084      63114.369      23.473776      64244.547      24.377409      54440.014      16.632769      55615.930      17.212069      
0.85           72364.274      33.297911      73724.634      34.889335      61614.994      22.509375      63114.512      23.469120      64245.349      24.373369      54440.165      16.628635      55616.627      17.208195      
0.86           72361.156      33.276521      73721.652      34.866450      61613.192      22.494171      63112.933      23.452924      64243.979      24.356306      54439.293      16.616599      55615.981      17.195527      
0.87           72357.053      33.265368      73718.271      34.854687      61610.351      22.485614      63110.701      23.443907      64242.295      24.346812      54437.723      16.609371      55614.873      17.187910      
0.88           72353.874      33.237509      73715.843      34.831609      61608.287      22.466991      63109.269      23.428120      64241.411      24.332696      54436.830      16.597946      55614.443      17.177466      
0.89           72356.778      33.266583      73719.114      34.861170      61610.089      22.483909      63111.451      23.445151      64243.904      24.349474      54438.322      16.607886      55616.236      17.187114      
0.9            72352.135      33.211979      73714.665      34.807042      61607.088      22.448885      63108.714      23.410359      64241.420      24.314976      54436.532      16.584246      55614.707      17.163593      
0.91           72352.087      33.202489      73715.006      34.797607      61606.970      22.441393      63108.990      23.402827      64242.030      24.307387      54436.718      16.578013      55615.209      17.157251      
0.92           72352.204      33.201088      73715.667      34.794041      61606.872      22.439302      63109.381      23.399259      64242.836      24.302525      54436.932      16.574592      55615.792      17.152883      
0.93           72346.745      33.210934      73710.430      34.801226      61603.242      22.445576      63106.030      23.403528      64239.759      24.305034      54434.646      16.576971      55613.777      17.153911      
0.94           72344.767      33.185505      73708.968      34.776832      61601.971      22.428543      63105.251      23.387068      64239.398      24.289078      54434.195      16.565164      55613.708      17.142363      
0.95           72338.969      33.174187      73703.749      34.767020      61598.010      22.419061      63101.823      23.378523      64236.454      24.281263      54431.810      16.557820      55611.749      17.135464      
0.96           72343.729      33.199962      73709.658      34.797957      61600.954      22.433097      63105.626      23.395585      64241.000      24.300843      54434.348      16.567327      55614.867      17.146492      
0.97           72340.275      33.166824      73706.525      34.757930      61598.416      22.412488      63103.431      23.370664      64239.092      24.272109      54432.708      16.550761      55613.508      17.127387      
0.98           72332.367      33.148778      73698.992      34.739938      61593.090      22.400356      63098.497      23.358393      64234.535      24.259726      54429.291      16.541853      55610.439      17.118291      
0.99           72330.318      33.151272      73697.465      34.742412      61591.397      22.399760      63097.269      23.357856      64233.712      24.259099      54428.280      16.539924      55609.785      17.116301      
1              72324.463      33.204397      73691.790      34.794207      61587.449      22.432836      63093.573      23.390034      64230.259      24.290334      54425.718      16.560320      55607.473      17.136021      
