qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            0.5                 dNLO.QCD                                                             28371.71645 +-         2.53219
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            0.5                 NLO.CS.32                                                            28371.71645 +-         2.53219

independent    0.5            1                   dNLO.QCD                                                             28626.70929 +-         2.67290
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   NLO.CS.32                                                            28626.70929 +-         2.67290

independent    1              0.5                 dNLO.QCD                                                             23490.25126 +-         1.98335
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 NLO.CS.32                                                            23490.25126 +-         1.98335

independent    1              1                   dNLO.QCD                                                             23911.57029 +-         2.09849
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    1              2                   dNLO.QCD                                                             24120.72031 +-         2.21213
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   NLO.CS.32                                                            24120.72031 +-         2.21213

independent    2              1                   dNLO.QCD                                                             20255.22641 +-         1.72538
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   NLO.CS.32                                                            20255.22641 +-         1.72538

independent    2              2                   dNLO.QCD                                                             20567.55315 +-         1.82200
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              2                   NLO.CS.32                                                            20567.55315 +-         1.82200

=====================================================================================================================================================

