qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    1              0.5                 LO                                                                   14311.52869 +-         0.61534
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 LO.22                                                                14311.52869 +-         0.61534

independent    1              1                   LO                                                                   15558.85047 +-         0.66800
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                15558.85047 +-         0.66800

independent    1              2                   LO                                                                   16661.35897 +-         0.71580
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   LO.22                                                                16661.35897 +-         0.71580

=====================================================================================================================================================

