qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    1              0.5                 dNLO.QCD                                                             23490.25126 +-         1.98335
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 NLO.CS.32                                                            23490.25126 +-         1.98335

independent    1              1                   dNLO.QCD                                                             23911.57029 +-         2.09849
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    1              2                   dNLO.QCD                                                             24120.72031 +-         2.21213
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   NLO.CS.32                                                            24120.72031 +-         2.21213

=====================================================================================================================================================

