qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            1                   NLO.QCD                                                              47943.49740 +-         2.79863
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   LO.22                                                                19316.78812 +-         0.82940
independent    0.5            1                   NLO.CS.32                                                            28626.70929 +-         2.67290

independent    1              1                   NLO.QCD                                                              39470.42077 +-         2.20225
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                15558.85047 +-         0.66800
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    2              1                   NLO.QCD                                                              33071.01840 +-         1.81102
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   LO.22                                                                12815.79199 +-         0.55035
independent    2              1                   NLO.CS.32                                                            20255.22641 +-         1.72538

=====================================================================================================================================================

