#pt_bbZ-mbbZ750        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.26140944   0.0087611903     0.20417573   0.0066023131     0.33812724    0.012559772
            420     0.24138219   0.0084555225     0.18879717   0.0064489575     0.31157287    0.012080463
            425     0.22641715     0.00822168     0.17603591   0.0061595229     0.29476835    0.011758977
            430     0.22750097   0.0082381509     0.17774136   0.0062408821     0.29411309    0.011918776
            435     0.20677461    0.007766806      0.1623923   0.0059060658     0.26549942    0.011133085
            440     0.19835083   0.0075298159     0.15373386   0.0057100772     0.25938066    0.010527439
            445     0.20006615   0.0076709418     0.15738281     0.00598989     0.25603873    0.011519574
            450     0.17238184   0.0072040659     0.13717741   0.0056556383     0.21684675    0.010727649
            455     0.16819917   0.0071441174     0.13041286   0.0053463711     0.21985788    0.010361014
            460     0.14981832   0.0067426729     0.11646563   0.0050467965     0.19483131   0.0096270575
            465     0.14547964   0.0064634289     0.11299891   0.0048533246     0.18932742    0.009339103
            470     0.14104312   0.0063096727     0.10931877   0.0047674083     0.18447599   0.0089225183
            475     0.13903447   0.0063642098     0.10944858   0.0049012094      0.1774278   0.0089611835
            480     0.12725959   0.0061787603    0.099805545   0.0046318831     0.16307768    0.008866077
            485      0.1087449   0.0061255661    0.087156714   0.0046607876     0.13513591   0.0089756349
            490     0.10918034    0.006327708    0.084915038   0.0046260247      0.1417822   0.0094517843
            495     0.10874474    0.005828957    0.084710073   0.0043449858      0.1408242    0.008307251
            500     0.10572314   0.0061347663    0.082520542   0.0045459819      0.1366488   0.0089049709
            505    0.098226096   0.0052533922    0.076165376   0.0039373538     0.12811048   0.0075126099
            510    0.089272175   0.0052339053    0.069952012   0.0039354953     0.11461912   0.0074193178
            515    0.087140798   0.0055685867    0.066869648   0.0040681638     0.11535276   0.0083445997
            520     0.08020275   0.0048214283    0.063029701   0.0036116114     0.10234071   0.0070411668
            525    0.082628436   0.0048771023     0.06418152   0.0036934034     0.10738139   0.0068169263
            530    0.077209885   0.0046779498    0.059970702   0.0035469693     0.10042759   0.0067260074
            535    0.065842902   0.0047174367    0.052619837   0.0035257771    0.082138253   0.0072007419
            540    0.071344855   0.0048591023    0.056582722   0.0036309176    0.089777143   0.0070550435
            545    0.065598247   0.0043096974    0.051873699   0.0034895948    0.083077018   0.0063997684
            550    0.061635417   0.0043153448    0.048847915   0.0032417518    0.077672583   0.0063398296
            555    0.054928943   0.0040776469    0.043867538   0.0030918849    0.068389097   0.0060696041
            560    0.051484504   0.0040744831    0.042962573   0.0037456676    0.059836203   0.0084236048
            565    0.054295112   0.0043769542    0.042668226   0.0032359537    0.069397084   0.0062905331
            570     0.05483969   0.0039353294    0.043787775   0.0030215384      0.0682792    0.005774206
            575    0.045050336    0.003694387     0.03588359   0.0027728545    0.056297281   0.0053188267
            580    0.039903289   0.0036175884    0.031455688   0.0026741452     0.05085158   0.0052244078
            585    0.043202889   0.0035873496     0.03391744   0.0026915239     0.05516421   0.0052094234
            590    0.035885241   0.0033589871    0.028254473   0.0025021227     0.04562551   0.0049585079
            595    0.035758323   0.0033056491    0.028039631   0.0024705498     0.04579857   0.0047056783
            600    0.041362984    0.003348114    0.031644401   0.0025469841    0.054824458   0.0046894768
            605     0.03753361   0.0033742305    0.028903835   0.0025169152    0.049257533   0.0048408895
            610    0.032414494   0.0030738072     0.02616613   0.0025400626    0.039502747    0.004714056
            615    0.028407454    0.002869323    0.021854017   0.0021297005     0.03743663   0.0041005017
            620    0.028452535   0.0031196587     0.02247095    0.002276611    0.035990865   0.0046356051
            625    0.025725438   0.0028145244    0.021230944    0.002331094     0.03028347   0.0042661608
            630    0.028380255   0.0028762698    0.021742308   0.0021483566    0.037534918   0.0040837586
            635    0.024359511   0.0027609449    0.019113335   0.0020551147    0.031084935   0.0039691275
            640    0.024976154   0.0025954634    0.019463799    0.001946675    0.032242499   0.0037678082
            645    0.026553356    0.002993527    0.020497749   0.0021865518      0.0346731   0.0043327571
            650    0.024820268   0.0026653384    0.018983014   0.0019800469    0.032865024   0.0038237007
            655    0.017982831   0.0023955061     0.01449027   0.0017885789      0.0219742   0.0034537323
            660    0.020434602   0.0025842794    0.015753151   0.0018795295    0.026738686   0.0037872027
            665    0.017640179   0.0025209903    0.014436628   0.0018365894    0.021080725   0.0038353073
            670    0.020871886   0.0025279748    0.016581246   0.0019016838    0.026147199   0.0035947532
            675    0.019314379   0.0024441221    0.015325882   0.0018251851    0.024236924   0.0036027694
            680    0.018793463   0.0022275541    0.014106359   0.0016726339    0.025500928   0.0031629887
            685    0.016330163   0.0022013843    0.012173253   0.0015792216     0.02239406   0.0032783575
            690    0.015249005   0.0022213807    0.012039002   0.0016520854    0.019301556    0.003192459
            695    0.016139079   0.0025444669    0.012146105   0.0018633155    0.021849342   0.0036689432
            700    0.014755218    0.002222065    0.012116166   0.0016643637    0.017428147   0.0032606561
            705    0.015087129   0.0021040852    0.011656598   0.0015706527     0.01973869   0.0029909737
            710    0.010989508   0.0018689507   0.0086954647    0.001374998    0.013823358   0.0027364473
            715    0.010624617   0.0018763875   0.0080894868   0.0013447578    0.014089151    0.002828005
            720    0.012560064   0.0019451446   0.0098372489   0.0014327911    0.016070728   0.0028664763
            725    0.010240223   0.0019183556   0.0089243453   0.0014166428    0.010946906   0.0027280455
            730    0.012905056   0.0019789687   0.0097348871   0.0014222344    0.017432013   0.0029239851
            735    0.009082366   0.0018832619   0.0074330366   0.0013536554    0.010825191   0.0028393377
            740    0.011489031   0.0017659889   0.0090018881   0.0013511917     0.01464042   0.0024696533
            745    0.010133647   0.0018338643   0.0083595714   0.0013491812    0.011885383   0.0029697865
            750   0.0072430846   0.0014775311   0.0056594238   0.0010701235   0.0092011446   0.0022754845
            755   0.0073760702   0.0015532696   0.0055135135   0.0011243804    0.010057768   0.0022793108
            760   0.0077426076   0.0015596823   0.0061195212   0.0011403696    0.009771256   0.0022997417
            765   0.0052449923   0.0013449398   0.0041433799  0.00093386355   0.0065863084   0.0021349916
            770   0.0077426076   0.0015191641   0.0058169794   0.0011089134     0.01051593   0.0021786616
