#         pt_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      461.61232     0.37306649      367.54927     0.28612857      607.79761     0.56717471
              5      987.83833     0.52421894      789.64992     0.40349809       1290.622     0.78226333
             10      1002.3284     0.52137808      805.06495      0.4059546      1297.5361     0.76332308
             15      834.73384     0.47614157       673.1871     0.37287168      1072.3033     0.68126035
             20        656.717     0.42396097      531.38791     0.33406169       838.4635     0.59750562
             25      509.14816     0.37416901       412.9799     0.29622927       647.1709     0.52035691
             30      396.44309      0.3306241      322.29342     0.26275903      501.94661     0.45517182
             35      311.02656     0.29365624      253.44425     0.23483628      392.21332     0.40327427
             40      246.81366      0.2626188      201.33527     0.21089889      310.59578     0.35969848
             45      197.63864     0.23398152      161.43736      0.1889791       248.1333     0.32012947
             50      160.05686     0.21089252      130.84849     0.16917489      200.60776     0.28357366
             55      131.34971     0.19087257      107.43584     0.15338312       164.4561     0.25540617
             60      108.02255     0.17304008       88.50812     0.14065393       134.8794     0.23522754
             65      89.887335     0.15830842       73.73077     0.12823345      112.01578     0.21247544
             70      75.368555     0.14469968      61.821783     0.11690375      93.896192     0.19246194
             75        63.9301     0.13601672      52.478968     0.10963754      79.539835     0.18157974
             80      54.308255     0.12321775      44.584021    0.099456247      67.563094      0.1628987
             85      46.446134     0.11370159      38.158886    0.091911286      57.704645     0.15013109
             90      39.901966     0.10595632      32.782968    0.085619536      49.535688     0.13970534
             95       34.66362    0.098334282      28.455932    0.079812677      43.006472     0.13104339
            100      30.096799    0.092270355      24.675227     0.07450217       37.36981     0.12289356
            105      26.288863    0.085625412      21.534902    0.069783697      32.658673     0.11588319
            110      22.881891    0.079879535      18.732807    0.068600921      28.427915     0.11710929
            115      20.321162    0.075280607      16.597823    0.060751982      25.303032     0.10125206
            120      17.849001     0.07062534      14.574148    0.057837831      22.225261    0.097019361
            125      15.837654    0.066584928      12.926898     0.05554618      19.723177    0.093151469
            130      14.143511    0.062905272      11.510317    0.050442554      17.672077    0.084114917
            135      12.466853    0.059137739      10.140081    0.047423373      15.576856    0.079572937
            140      11.064099    0.056000573      9.0060432    0.044698081      13.803102    0.075351446
            145      9.9390457    0.053115418      8.0707122    0.042539469      12.438944    0.071894064
            150      8.9747469    0.050923208      7.2864626    0.040505461      11.217681    0.069384832
            155      8.0541848    0.048559197      6.5383012    0.038977228      10.069563    0.067541674
            160       7.254964    0.045477747      5.8849509    0.036392669      9.0785933    0.061862265
            165      6.5558735    0.043177319      5.3240001    0.034390913      8.1861662    0.058401956
            170       5.937963    0.045191634      4.8129495    0.034881454      7.4302318    0.064110422
            175      5.3504936    0.039365712      4.3344482    0.031393892      6.6952782    0.054162039
            180      4.9196441    0.037499502      3.9778665    0.029683188      6.1710621    0.050468364
            185      4.4486272    0.036002171      3.6116857     0.02887876      5.5460409     0.05007335
            190      4.0449163    0.037867106        3.26074    0.029221619      5.0904689     0.05229187
            195      3.6567191    0.032314284      2.9565668     0.02557035      4.5823385    0.044276672
            200      3.3800553    0.031567195      2.7304706    0.024862263      4.2395569    0.042974566
            205      3.0800761    0.029753834      2.4741431    0.023331148      3.8908831    0.040357395
            210      2.8047362    0.028433425      2.2538317    0.022281471      3.5398198    0.038608236
            215      2.5861676    0.027142965      2.0861003    0.021401228      3.2461228    0.037204134
            220      2.3939336    0.026801695      1.9392631    0.022052263      2.9886574     0.03896819
            225      2.1876866    0.025184236      1.7550543    0.019733393      2.7639302    0.034440337
            230      2.0328318    0.026138061      1.6260074    0.019987492      2.5785149    0.036494627
            235       1.915187    0.023674388      1.5399063    0.018598722      2.4128915    0.032462389
            240      1.7234233    0.022146123      1.3913994    0.018225362      2.1581388    0.032115215
            245      1.6470692    0.021854566      1.3190427    0.017084811       2.085242    0.029802348
            250       1.464675    0.020638481      1.1690156    0.016035487      1.8620387    0.028293613
            255      1.3558883    0.019923698       1.090115    0.015642548      1.7063142    0.027486216
            260      1.3026226    0.020827547      1.0456359    0.016084612      1.6420499    0.029070341
            265      1.1855181    0.018703351     0.96186864    0.015144339      1.4718802    0.027159245
            270      1.0928447    0.017989277     0.87748815     0.01405191      1.3765216    0.024918584
            275      1.0449932    0.018594846     0.83807097    0.014249145      1.3180463     0.02611653
            280     0.96513529    0.017008526      0.7706296    0.013188733       1.224446    0.023740801
            285      0.8817698    0.016187197     0.70917975    0.012669327      1.1079102    0.022513592
            290     0.82545059    0.016098933     0.66242337    0.012424172      1.0388136    0.022480624
            295     0.79839928    0.015440543     0.63519123    0.011899054      1.0171536    0.021285082
            300     0.74526055    0.015101895     0.59455507    0.011673947     0.94579561    0.021004857
