# y_bbZ-mbbZ150        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5     0.55084422     0.10816134     0.39058505    0.073326631     0.87168903     0.20425609
           -4.9      1.0315508     0.16963055     0.76018909     0.11325233      1.5734477     0.31967398
           -4.8       3.239894     0.26311995      2.4443157     0.18591146      4.8801404     0.46976125
           -4.7      8.4470719     0.42259439       6.525924     0.30357767      12.193751     0.71607001
           -4.6      20.505251     0.65803553      16.002721     0.47723685      28.630809      1.0941494
           -4.5      44.258475     0.93509912      34.742383     0.68499051      61.656274      1.5155075
           -4.4       85.01219      1.2748584      66.725423     0.94003765       117.2965      2.0310361
           -4.3      145.77586       1.666706      114.91328      1.2416745       199.5421       2.676125
           -4.2      233.24424      2.0939302      184.15208      1.5575429      316.00085      3.2808298
           -4.1      336.61892      2.5067602      266.71395      1.8680246      452.99463      3.9195943
             -4      478.05185      2.9412869      378.43601      2.1969165       643.2553      4.5403584
           -3.9      628.49972      3.3496703      498.33723      2.5097949      841.99214      5.1243324
           -3.8      796.56633      3.7201747      632.00898      2.8051122      1062.6464      5.6804278
           -3.7       970.8978      4.0708688      770.43859      3.0803871      1292.1784      6.1805655
           -3.6       1133.142      4.3844058      900.28928      3.3052925      1502.5611      6.5860559
           -3.5      1304.6398      4.6725355      1038.8186      3.5607412      1722.0565       7.066082
           -3.4      1451.2452      4.9038821      1155.5421      3.7210988      1914.1946      7.3308357
           -3.3      1601.5362      5.1190931      1275.9824      3.9012733      2106.0894       7.631055
           -3.2      1733.3453      5.3006372      1380.1312      4.0318376      2280.7076      7.8528008
           -3.1       1847.353      5.4487837      1474.2951      4.1933514      2419.7501      8.1680074
             -3      1965.0356      5.6270548      1567.6335      4.3066055      2574.3026      8.3330127
           -2.9      2047.8171      5.6816838       1634.425       4.351064      2678.5882      8.3670885
           -2.8      2117.9356      5.7675023      1692.2679      4.4469992       2763.797      8.5841092
           -2.7      2187.3057       5.832029      1747.2194      4.4804695      2852.8461      8.5573771
           -2.6      2229.1296      5.8693385      1781.5639       4.512102      2901.3075      8.5817683
           -2.5      2275.8805      5.9358094      1818.8679      4.5608883      2961.9106      8.6584858
           -2.4      2319.6223      5.9663272      1856.1175      4.6074903       3013.887      8.7388426
           -2.3      2357.3128      5.9847567      1885.1565      4.6300825      3063.6996      8.7497998
           -2.2      2395.3024      6.0110267       1914.709      4.6441086      3115.0705      8.7287309
           -2.1      2407.9388      6.0196074      1926.0342      4.6555996      3129.0939      8.7328743
             -2      2431.2583      6.0382431      1945.6115      4.6833314      3153.6834      8.7961074
           -1.9      2448.6208      6.0442577      1962.1132       4.712859      3171.9099      8.8538949
           -1.8      2463.2691      6.0543423      1970.8331       4.687644      3197.1299      8.7358709
           -1.7      2477.7277      6.0605464      1984.9662      4.7029229      3208.4379      8.7683684
           -1.6      2483.7416      6.0559037      1990.6331      4.7323061      3214.3968      8.8320554
           -1.5      2506.2234      6.0765121      2008.1173      4.7846208      3243.4507       8.978083
           -1.4       2519.685       6.085618      2020.7146       4.756041       3256.609      8.8593859
           -1.3      2524.7305      6.0836646        2024.05      4.7301808      3264.4369      8.7469457
           -1.2      2536.1337      6.0862253      2032.1439      4.7482287      3280.5322      8.7954666
           -1.1      2547.5765      6.0919301      2042.6599       4.746877       3291.661      8.7761071
             -1      2560.1518      6.0997375      2052.5793      4.7579438      3306.2769      8.7778612
           -0.9      2565.7458       6.103368      2056.7291      4.7686488      3316.5687      8.8095473
           -0.8      2583.2576      6.1192576      2073.0384      4.7902869      3334.0283      8.8671639
           -0.7      2586.8212       6.110202      2073.8229      4.7765017      3342.7367      8.7890669
           -0.6      2597.3219      6.1133412      2083.3285      4.7782821       3354.221      8.7773745
           -0.5      2594.8962      6.1127428      2080.7043      4.7704169      3352.4417      8.7622281
           -0.4      2609.5501      6.1223654      2092.5145      4.7781379      3371.9366      8.7628529
           -0.3      2594.0548      6.1082727      2080.5518      4.7782505      3348.9731      8.7807679
           -0.2      2602.1081      6.1163834      2086.8777      4.7747225      3359.0537      8.7824412
