#  total-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2303.1226      1.7822217      1800.4151      1.3709725      3003.6203      2.5176683
              1      2303.1226      1.7822217      1800.4151      1.3709725      3003.6203      2.5176683
