#         pt_em        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      70.514169     0.14438333      56.876778      0.1133773      90.561161     0.20556352
              5      216.48273     0.25061766      174.77671      0.1968215      277.59182     0.35509888
             10      374.05313     0.32539011       302.1021     0.25656133      479.14268     0.46253698
             15      537.48769     0.38701198      434.09239     0.30442069      688.47259     0.55015448
             20      688.39242     0.43566631      556.15713     0.34301637      881.93498     0.62279546
             25      803.74228     0.46964128      649.61846     0.36934416      1030.9124     0.67701391
             30      855.39517     0.48727886      691.54156     0.38199302      1099.8623     0.70891692
             35      796.83246     0.47354897      644.52221     0.36927865      1026.4099     0.68944878
             40      622.29864     0.41930654       503.3702     0.32847594      798.88332      0.6032604
             45      436.29751     0.34981277      352.73365     0.27567083      557.00674     0.49210119
             50      304.42924     0.29042816      246.20676     0.23022668      386.82957     0.40200894
             55      217.64077     0.24539784      176.10681     0.19612681      275.65434     0.33745722
             60      159.88649     0.20937781      129.37554     0.16694583      202.18541     0.28419216
             65        119.876     0.18162459      97.058615      0.1450506      151.27964     0.24610615
             70      91.929728     0.15867194      74.492519      0.1269615      115.80646      0.2134704
             75      71.030252     0.13916972       57.59033     0.11244536      89.367797     0.18892511
             80      55.932012      0.1236365      45.359753     0.09952473      70.318103     0.16668692
             85       44.77697     0.11059096      36.366568    0.088790071      56.165295     0.14763724
             90      35.754462    0.099203713      29.035781    0.079606093      44.836204     0.13245981
             95      29.093892    0.089409054      23.634653    0.071760661      36.467244     0.11896383
            100      24.019703    0.082234605      19.528044    0.066908557      30.079446     0.11105321
            105      19.821276    0.074111875      16.093911    0.059517149       24.81659    0.099048235
            110       16.44443    0.066860115      13.341993    0.053780843      20.600626    0.089751449
            115      13.773306    0.061379354      11.172656    0.049363585      17.245444     0.08235119
            120      11.589315     0.05614061      9.3809355    0.045374178       14.54698    0.076307238
            125      9.8186548    0.051677412      7.9408977     0.04144091      12.328436    0.069702562
            130      8.2946846     0.04758681      6.7077578    0.038480705      10.412073    0.065407529
            135      7.1440775    0.044797966      5.7601347    0.035726564      9.0014856    0.060926713
            140      6.1769845    0.041825226      4.9851221    0.033471275      7.7705719    0.057293799
            145      5.2849016    0.038333008      4.2535285    0.030407372      6.6683366    0.051679789
            150      4.5603018    0.035519104       3.667004    0.028048017      5.7586998    0.047651339
            155      3.9174036    0.032720989       3.149208    0.026119607      4.9477153    0.044283793
            160      3.4891178     0.03110049      2.8123415      0.0247824      4.3901021    0.042293312
            165      3.0791732    0.029136945      2.4804646    0.023143238      3.8763127    0.039346554
