#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21165.822      9.1862714      17298.271      7.3275986      26574.164      13.027683
     0.31415927      16093.842      8.1579095      13020.345      6.4250094      20512.999      11.522548
     0.62831853      12669.562      7.3603597      10210.765      5.7919814      16251.859      10.486233
      0.9424778      10506.424      6.7840088      8455.9827      5.3225856      13519.361      9.6844529
      1.2566371      9081.7978       6.353437      7306.7701      4.9700122      11706.429      9.0712778
      1.5707963      8163.3641      6.0611869      6570.6508      4.7441535      10528.808      8.6867611
      1.8849556      7577.5131      5.8680982      6104.7054      4.5921404      9771.4681      8.4121166
      2.1991149      7230.9603      5.7541527      5833.3938      4.5079896      9319.6212      8.2673501
      2.5132741      7061.1817      5.6996835      5704.1223      4.4628926      9090.7562      8.1810614
      2.8274334      7017.1098      5.7030254      5675.1072      4.4806196      9023.7012      8.2165073
      3.1415927      7017.1098      5.7030254      5675.1072      4.4806196      9023.7012      8.2165073
