#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      19.533764    0.053874515      15.617864    0.041779584      25.334798    0.077970964
             60      55.702274    0.090513126      44.778447    0.071073589      71.793968     0.13068303
             70      1209.2592     0.36480247      977.17429     0.28534382      1548.1826     0.53364876
             80      1947.1516     0.40999976      1575.5586     0.31769932      2488.4016     0.61485199
             90      55.146343    0.090005553      44.830952    0.071152574      70.057224     0.12543865
            100      16.958932    0.049780067       13.82851    0.039547008      21.480804    0.068588612
            110      7.9119867    0.033989584      6.4717762    0.027089947       9.973646    0.046455107
            120      4.4734385    0.025575049      3.6696223    0.020447461      5.6231353    0.034811979
            130      2.7869728    0.020135828      2.2954686    0.016338005      3.4856946    0.027917143
            140      1.8492122      0.0163977      1.5271338    0.013231054      2.3058081    0.022200266
            150      1.8492122      0.0163977      1.5271338    0.013231054      2.3058081    0.022200266
