#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.122273    0.029965511      10.669197    0.024562761      16.441187    0.041949329
             20      28.944663    0.063639722      23.600651    0.050900483      36.279519    0.085872228
             30      31.959595     0.06737158      26.216518    0.055343843      39.964634    0.095398115
             40      27.881158    0.062916781      22.897579    0.050843677       34.83155    0.086388722
             50      22.819435    0.046266441      18.720333    0.037307192      28.483852     0.06251522
             65       18.17403    0.040947375      14.883608    0.032992374      22.678543    0.054589097
             80      13.958695    0.036068378      11.429063    0.029139353      17.393966    0.048184064
             95      10.636943     0.03117513      8.6983813    0.025175872      13.263702    0.041220167
            110      7.7255418    0.023091719      6.3214753    0.018667039      9.6208102    0.030603488
            130      4.8375159    0.013820897      3.9411454    0.011320657      6.0385808    0.018842571
            165      2.6863879    0.010295377      2.1730397   0.0082547207      3.3765135    0.013892787
            200      1.5159207   0.0073509913      1.2173122   0.0058167586      1.9189643    0.010023632
            240     0.75735451   0.0043487417     0.60593871    0.003392068     0.96150117   0.0059751342
            300     0.13858745  0.00082755388     0.10982356  0.00064526762     0.17752873   0.0011454709
            600     0.13858745  0.00082755388     0.10982356  0.00064526762     0.17752873   0.0011454709
