#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      101.21725     0.39972812      80.548566     0.30875405      133.22952     0.61805284
              1      298.67342     0.68424088      237.66788       0.528834       393.5564      1.0566519
              2      482.31855     0.86777865      383.90116     0.66577893       635.5841      1.3172387
              3      644.48482      1.0113835      513.02296     0.77388407      848.98315         1.5211
              4      781.36757      1.0962429      622.60577     0.84236459      1027.6349      1.6473027
              5      880.84475      1.1621604      702.69375     0.89298306      1155.2679       1.732247
              6      959.73146      1.2102731      766.30443     0.93022822      1256.8455        1.79213
              7      1009.9456      1.2368532      807.29089     0.95434248      1319.5063      1.8288697
              8      1039.7083      1.2526497        831.845     0.96814504      1356.1346      1.8409402
              9      1048.9614      1.2552787      840.11552     0.97751888      1365.3558      1.8467347
             10      1047.9948      1.2506479      840.14164     0.97739038      1361.5996      1.8348664
             11      1032.2277      1.2394589      828.52328     0.96836584      1337.7827      1.8126975
             12      1009.4576      1.2226861      810.74969     0.95565382      1306.8371      1.7741276
             13       977.8134      1.2024327      786.17626     0.93690012      1263.5286       1.727824
             14      944.14861      1.1803713      759.73387     0.92080125      1217.9328      1.6885249
             15      910.01872      1.1557399      732.69821     0.90234227      1172.5627      1.6442914
             16      872.45032      1.1310461      703.24773     0.88910978      1121.8283      1.6155092
             17      834.86487      1.1055673      673.46419     0.86792959      1071.9305      1.5724542
             18      796.51567      1.0782754      642.80167     0.84891848      1021.9456      1.5310508
             19      759.81963       1.053757      613.72372     0.82764527      973.24944      1.4842253
             20      722.93983      1.0307517      584.54981     0.81205317      924.29272      1.4560253
             21       689.9048     0.99996247      557.91393     0.78923952      881.84862       1.406558
             22      656.65286     0.97468148      531.19799     0.76816477      838.67487      1.3592806
             23      622.85685      0.9500084      504.04984     0.74920867      794.92727      1.3260891
             24      591.23064     0.92334322      479.22799     0.73180307      752.57403       1.291195
             25      563.34827     0.90114096      456.62338     0.71443627      717.15508       1.257443
             26      535.41299     0.87705049      434.16072     0.69471579      681.01525      1.2164934
             27      506.44384      0.8529028      410.72945     0.67613362      643.65564      1.1809079
             28      481.80644     0.83264733      390.96053     0.65986469      611.97494      1.1499301
             29      458.72926      0.8140385      372.42542     0.64534662       582.0536      1.1213058
             30      436.17549     0.79052987       354.1481     0.62655334      553.35798      1.0851617
             31      415.59925     0.76988117      337.77291     0.61232045      526.53963      1.0574663
             32      395.62889     0.75098208      321.47275     0.59670435      501.23048      1.0286346
             33      377.09656     0.73542055       306.9085       0.586858      476.68698      1.0131612
             34      357.71525     0.71424529      291.16484     0.56926468      451.91798     0.97935317
             35      341.30317     0.69739307       277.7904     0.55533532      431.11396     0.95288203
             36      325.38979     0.68125363      265.11911     0.54849254       410.4861     0.94327128
             37      309.87647     0.66370245      252.50946     0.53049009      390.77448     0.90774095
             38       295.7306     0.65016827      241.10115     0.52026773      372.59144     0.88879081
             39      282.83276     0.63531088      230.70113      0.5081004      356.10062     0.86706144
             40      270.15543     0.61751162      220.08874     0.49308725      340.64817     0.83783773
             41      258.20111      0.6153494      210.50385     0.49150645      325.25208     0.83906933
             42      245.58281     0.58986114       200.4189     0.47654461      308.87199      0.8097184
             43      235.04025     0.58054002      191.90098     0.46788641      295.34538     0.79741421
             44      225.08872      0.5638865      183.76386     0.45494918      282.86126      0.7735117
             45      215.21726      0.5512123       175.6562     0.44101089       270.5743     0.74329585
             46      206.37919      0.5406385       168.4721     0.43266443      259.32885     0.72859336
             47      196.96859     0.52645194      160.83816     0.42103604      247.39713     0.70768839
             48      188.66116     0.51570826      154.35752     0.43250399      236.31771     0.74654646
             49        180.967     0.50425251      147.86284     0.40418636      227.04849     0.67801308
             50        180.967     0.50425251      147.86284     0.40418636      227.04849     0.67801308
