#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      2462.0323      0.7430831      1983.3759     0.57519074        3168.91      1.1194772
             15      1466.9217     0.60522137      1182.4047     0.47346721       1884.363     0.87439934
             20      812.71542     0.46630052      656.42426     0.36769825      1040.4695     0.65885244
             25      493.76269     0.36888782      399.46055     0.29115817      630.53951     0.51125998
             30      323.19158     0.30165882       262.1228      0.2397933      411.19837     0.41622804
             35      224.04861     0.25138059      181.99496      0.2006301      284.38579     0.34512713
             40      162.02792     0.21454295       131.8766     0.17126619      205.10333     0.29192017
             45      121.28855     0.18509485       98.86291     0.14802707      153.19121     0.24989901
             50      93.406819     0.16265683      76.295633     0.13046909      117.62387     0.21880945
             55      73.357418     0.14513583       59.99885     0.11676802      92.234057     0.19534023
             60      58.641018     0.12953741      48.029039     0.10417352      73.587448     0.17324305
             65      47.991069     0.12095443      39.364842    0.096953722      60.104691      0.1619379
             70      39.720299     0.10643197      32.623469    0.087137216      49.656675     0.14373828
             75      33.011343    0.097270813      27.142746    0.078589167      41.212521       0.128943
             80      27.935633    0.089537366       22.99736    0.072429764      34.817711     0.11848353
             85      23.755105    0.082606087      19.604558    0.068341751       29.51603     0.11189965
             90      20.466217    0.076626841      16.873299    0.061987481      25.459805     0.10070901
             95      17.763883    0.071206892      14.657315    0.057779658      22.078988     0.09356085
            100      17.763883    0.071206892      14.657315    0.057779658      22.078988     0.09356085
