# total-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      337.59023      0.6837769      275.44021     0.55567217      424.83797     0.91071428
              1      337.59023      0.6837769      275.44021     0.55567217      424.83797     0.91071428
