# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      94.102556     0.79135606      72.336116      0.5811898      125.19229      1.1542933
     0.31415927      99.781841     0.70023388      76.867779     0.52552037      132.41302      1.0055733
     0.62831853      103.54529     0.69885069      79.399069      0.5306328      138.21792      1.0080408
      0.9424778      108.84086     0.74685219      83.319544     0.55663687      145.58294      1.0826791
      1.2566371      120.19236     0.74450393      91.611472     0.55889715       161.7006       1.071407
      1.5707963      145.75299     0.85237838      110.77578     0.63268862      196.72958       1.230441
      1.8849556      184.24163      1.0236801      140.01915     0.75554664      248.77122      1.5007235
      2.1991149      254.55076      1.1089544      193.31132     0.82397362      343.91224      1.6075643
      2.5132741      385.68302      1.4068442      295.46583      1.0510674      515.01655      2.0383559
      2.8274334      612.07764      1.7582548      476.26075      1.3244463      800.14694      2.5471329
      3.1415927      612.07764      1.7582548      476.26075      1.3244463      800.14694      2.5471329
