#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      309.74434      2.6475551      252.04179       2.030431      398.50346      3.7681828
           -4.9      366.39475      2.4659626      298.62083      1.9248721      469.55255      3.5271381
           -4.8      435.68903      2.6768561      353.75955      2.0868987      562.49426      3.8215714
           -4.7      508.49448      2.9071578      413.46866      2.2670433      654.72683      4.1507263
           -4.6      590.11592      3.1445011      479.79816      2.4504434       759.1927      4.4963567
           -4.5      678.22012       3.364857      551.43771      2.6225371      872.96812      4.8318551
           -4.4      768.63878      3.5747155      625.28288      2.8004339       987.6988      5.1335481
           -4.3      884.36799      3.7895411      717.58163      2.9513708      1139.3733      5.4089839
           -4.2       989.2263      3.9828165        802.741       3.109188      1273.0324      5.7103352
           -4.1      1103.7044      4.2334905      896.60893      3.3086253      1416.2717      6.0823889
             -4      1230.5658      4.4724836      998.95147      3.4872158      1579.4296      6.4101824
           -3.9      1366.7506      4.6883477      1108.7819      3.6549518      1755.9415      6.6974593
           -3.8      1500.4928      4.8734851      1216.8298      3.8025219       1928.921      6.9632462
           -3.7      1640.8685      5.0865983      1329.7363      3.9746862      2109.6367      7.2793873
           -3.6      1789.4395      5.2877967      1451.1225      4.1451222       2297.318      7.5674362
           -3.5      1942.6501      5.5023565      1575.1988      4.3152166      2490.8932      7.9033101
           -3.4      2101.0263      5.7528598      1702.9527      4.6365978      2696.1702      8.5326661
           -3.3      2262.2397      5.9007864      1832.6993      4.6082572      2903.7074       8.393717
           -3.2      2421.9696       6.100312      1962.6469      4.7755085      3104.0274      8.6721701
           -3.1      2576.9487      6.2732887      2087.5961      4.9157846      3302.2853      8.9399969
             -3      2731.5997      6.4549662       2213.105      5.0477261      3494.9473      9.1471598
           -2.9      2908.5043      6.6304277      2354.8112      5.1971941      3725.6208      9.3880001
           -2.8      3078.8836      6.8164793      2492.6253      5.3418957       3943.825      9.6322217
           -2.7      3229.7548      6.9501475       2614.873      5.4833159      4132.2909      9.9292701
           -2.6      3413.4815      7.1447383      2761.7066      5.6141113      4372.1703       10.11425
           -2.5      3567.4745      7.2688925      2886.4068      5.7179004      4564.3437      10.309667
           -2.4      3717.2679      7.4202883      3007.8643      5.8208272      4754.6127      10.446589
           -2.3      3880.8805      7.5686666       3138.641      5.9455732      4965.9336      10.671872
           -2.2      4032.5162      7.6847793      3260.3585       6.037648      5158.4086      10.798664
           -2.1      4177.1636      7.8106671      3377.3444      6.1790045      5344.6336      11.066577
             -2      4327.8219      7.9319797       3498.327      6.2418902      5536.3073      11.138086
           -1.9      4468.8044      8.0542181       3611.262      6.3670815      5716.0099      11.388319
           -1.8       4588.429      8.1733278      3711.3993      6.4489057      5858.4315      11.515082
           -1.7      4738.5818      8.3066778      3827.8319      6.5406959      6061.4369       11.65576
           -1.6      4846.5539      8.4397266      3916.2687       6.634026      6193.4432      11.806929
           -1.5      4971.3757      8.4515709      4017.3391      6.6566112       6353.967      11.827958
           -1.4      5080.1855       8.530316       4106.348      6.8050979      6488.6429      12.147075
           -1.3      5205.3837      8.6160932      4205.4612      6.8091324      6650.8357      12.071191
           -1.2      5294.3114      8.7078252      4273.7878      6.8664423      6767.0723      12.173285
           -1.1      5363.3988      8.7480316      4333.1991      6.9205859      6847.9584      12.255136
             -1      5476.9432      8.8192224      4425.0883      7.0754626      6993.3679      12.607973
           -0.9      5536.7489      8.8980598       4469.607      7.0212884      7078.4642       12.41873
           -0.8       5613.444      8.9333012      4534.3315      7.0665567      7166.1725      12.489909
           -0.7      5666.6524      8.9550469      4576.2485      7.0831617      7236.6969      12.503695
           -0.6      5721.5166      8.9995739      4621.6787      7.1355263      7303.5435      12.597634
           -0.5      5769.9117       9.027082      4658.1852      7.1481133      7370.2806      12.607258
           -0.4      5803.9458      9.0803159      4687.4192      7.1953132      7410.3862      12.728035
           -0.3      5825.9483       9.067926      4706.4628      7.1984517      7435.9123      12.721048
           -0.2      5830.3875      9.0616468       4708.274       7.176194      7446.4489      12.663974
           -0.1      5834.7052      9.0739101      4710.9376      7.1678873      7452.0021      12.637297
              0      5856.9537      9.0883642      4730.9924      7.2840395      7476.1088      12.966102
            0.1      5830.1773      9.0860822      4706.3346      7.2128856      7446.7996      12.764044
            0.2      5816.1677      9.0667601      4698.2066      7.2177733      7424.3205      12.771784
            0.3      5796.7472      9.0527363      4680.6708      7.1600799      7403.8952      12.651751
            0.4       5771.397      9.0221246        4659.66      7.1428171      7374.0196      12.613277
            0.5      5708.6296      8.9772093      4611.8989       7.129422      7287.3206      12.632196
            0.6      5673.4768      9.0123912      4582.1603      7.2133418      7245.9314      12.828595
            0.7       5597.678      8.9099146      4522.6871      7.0643478      7144.4619      12.555035
            0.8       5560.312      8.8702112      4492.4022      7.0423159      7099.0791      12.494888
