#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.25115617   0.0086813738     0.19559309   0.0065830306      0.3281438    0.012234917
            420      0.2222326   0.0079886525     0.17467654   0.0061179417     0.28700518      0.0112249
            425     0.22951289   0.0080478375     0.18090384   0.0062007788     0.29491501    0.011071269
            430     0.21367985   0.0077865968     0.16921514   0.0060194018     0.27194025    0.010995053
            435     0.19756637    0.010326832     0.15658899   0.0084140091     0.25205995    0.013551139
            440     0.19073254   0.0072921166     0.14816997   0.0055708056      0.2496819    0.010095003
            445      0.1641393   0.0068284228     0.12948106   0.0052880566     0.20989903    0.009596942
            450     0.16616382   0.0067830452     0.13038708   0.0052565734     0.21458113   0.0093185913
            455     0.15460629   0.0066545227     0.12212816   0.0051138004     0.19821588   0.0091931858
            460     0.14533613   0.0064976134     0.11622042   0.0050378271     0.18273073   0.0090263005
            465      0.1521428   0.0078553483     0.11914644   0.0057913713     0.19676817    0.011469825
            470     0.14645164   0.0063300899     0.11598371   0.0051022629     0.18665516   0.0091257051
            475     0.12374758   0.0063300065    0.096688654   0.0047916543     0.16072437   0.0088066626
            480     0.13099585    0.005999144     0.10287668   0.0046402103     0.16858709   0.0083107116
            485     0.10630694    0.005489239    0.083351777   0.0042170514     0.13745328   0.0075237025
            490     0.10852343   0.0063606152    0.085802564   0.0047476151     0.13834965   0.0092373849
            495      0.1138699   0.0056255362    0.088822118   0.0043354778     0.14822993   0.0077398508
            500     0.10229681   0.0064285109    0.079292617    0.004726843     0.13409025   0.0092779976
            505     0.10058742   0.0055345497    0.079048425   0.0041906098     0.12924197   0.0077161058
            510     0.09235566   0.0050505107    0.072375548   0.0039142609     0.11928588   0.0068820961
            515     0.08404946   0.0049036031    0.068623798   0.0043665397     0.10205759   0.0090501802
            520     0.07885332   0.0046352878    0.062038429   0.0036030612     0.10117291   0.0064226921
            525    0.072083653   0.0047793268    0.056644542   0.0035906331    0.092739202   0.0067456345
            530    0.068469637    0.004484186    0.054342582   0.0034392386    0.086507246   0.0064156781
            535     0.06625489    0.004365754    0.051706638   0.0033130802     0.08608626   0.0060879822
            540    0.065874591   0.0044917625    0.052684291   0.0034521519    0.082668881   0.0062792403
            545     0.06730799   0.0042962467    0.052176744   0.0032881717     0.08829973   0.0058814813
            550    0.055354139   0.0039853144    0.043959534   0.0030415643    0.069832601   0.0056464703
            555    0.053459531   0.0041083518    0.041997534   0.0030617709    0.068770509   0.0059633668
            560    0.051234399   0.0037651927     0.04160551   0.0031794501    0.062545672   0.0055958255
            565     0.05063349   0.0038864658    0.041068335   0.0030085284    0.061882055   0.0055218384
            570    0.052088218   0.0039013224    0.041480345   0.0029882569     0.06576848   0.0054641957
            575    0.042314838   0.0034420124    0.032954925   0.0026119456      0.0550338    0.004743855
            580    0.052303322   0.0037710789    0.041232604   0.0029351445    0.067581361   0.0051129796
            585    0.040637102   0.0033498215    0.031759326   0.0025516397    0.052714808   0.0046703126
            590    0.047837808   0.0036047273    0.036938289   0.0027416856    0.062899678   0.0050345532
            595    0.038214125   0.0033379451    0.030475479   0.0025460054    0.048404439   0.0046799737
            600    0.037005769   0.0032597354    0.030169766   0.0025308507    0.044861711   0.0048514435
            605    0.034556059   0.0030872773    0.027058225   0.0024060788    0.044613342   0.0042601638
            610    0.029721623   0.0029232291    0.023499212   0.0022247345    0.037780242   0.0041276827
            615    0.035466138   0.0031193546    0.028284636   0.0024309708     0.04454552   0.0042017509
            620    0.029873298   0.0029597771    0.024171244   0.0024385632    0.036344502   0.0045669765
            625    0.033387709   0.0032281294    0.027271091    0.002607435     0.04034377   0.0048315231
            630      0.0292221   0.0029232355    0.023838639   0.0023345235    0.035485646   0.0039177923
            635    0.028087473   0.0028468675    0.021913641   0.0021691739     0.03635042   0.0039227535
            640    0.024306201   0.0026549473    0.018862766   0.0020244803    0.031784284   0.0036592752
            645    0.029897038   0.0035592904    0.023445269   0.0025936327    0.038327033   0.0052106848
            650    0.024515301   0.0026233571    0.019291663   0.0020139523    0.031425049   0.0035854476
            655    0.021932281   0.0025835169    0.017204992   0.0019580947    0.028180604   0.0035657601
            660     0.01852042   0.0022934477    0.014284693   0.0017313453    0.024336661    0.003162423
            665    0.021046614   0.0024085801    0.016458696   0.0018405752    0.027209704   0.0033186429
            670    0.017017024   0.0021813211    0.013571981   0.0016869357    0.021270831   0.0029706752
            675    0.018856509   0.0023184887    0.014633933   0.0017644197    0.024650251    0.003173563
            680    0.021740491   0.0024354234    0.017085094    0.001881531    0.027887885   0.0033175047
            685     0.01594236   0.0024472005     0.01298311   0.0017862896    0.019322906   0.0037494116
            690      0.0177414   0.0022486795    0.013637851   0.0016933711    0.023390442   0.0031306546
            695    0.016734023   0.0020745684    0.013392693   0.0016647336    0.020837533    0.002703575
            700    0.013237361    0.002044284    0.010406626   0.0015110889    0.016960318   0.0029197883
            705    0.017213947   0.0021904056    0.013001011   0.0016445019    0.023343274   0.0031014737
            710    0.014587606   0.0020439365     0.01149001   0.0015630977    0.018635192   0.0027945672
            715    0.010739746   0.0017121896   0.0081784929   0.0012833569    0.014353685   0.0023764051
            720   0.0089914153   0.0016566478   0.0072301176   0.0012520465    0.011158487   0.0022946366
            725   0.0074928461   0.0016938768   0.0064982601   0.0012337357   0.0081298442   0.0023181976
            730    0.013562786   0.0019870882    0.010795962   0.0015157568    0.016992601   0.0027414562
            735    0.010739746   0.0019183556   0.0088443516   0.0014112984    0.012831418   0.0028449359
            740    0.010489985   0.0016185588   0.0080175834   0.0012444517    0.014031504     0.00218384
            745    0.010240223    0.001637714   0.0079622702   0.0012724245    0.013375816   0.0022195192
            750   0.0091565917   0.0016521242   0.0073932846   0.0013203421    0.011158723   0.0022154784
            755   0.0070674343   0.0014277588   0.0054257106   0.0010644933    0.009338124   0.0019893465
            760   0.0091367571    0.001647255   0.0071254308   0.0012370288    0.011841901   0.0023244658
            765   0.0092411768   0.0015596823   0.0071503403   0.0011919195    0.012090213   0.0021241741
            770   0.0068024359   0.0014562416   0.0051884706   0.0010601057   0.0090061684   0.0021230146
            775   0.0077426076   0.0015596783   0.0062052592   0.0011897454   0.0098582767   0.0022069354
            780    0.008813641   0.0016119849   0.0066609603   0.0011870013    0.011916407   0.0023006648
            785   0.0074729351   0.0015252684   0.0060493355    0.001144175   0.0091565723   0.0022645931
            790   0.0072430845   0.0014775353   0.0056406105   0.0011174811   0.0093873895   0.0020461875
            795   0.0062911354   0.0014081468   0.0050699523   0.0010780782   0.0078119236   0.0019274313
            800   0.0054947538   0.0013215477    0.004276629  0.00093653564   0.0070952115    0.002017492
            805   0.0080115106   0.0014596791   0.0060056725   0.0010852464    0.010926416   0.0020412195
            810   0.0079465313   0.0014411921   0.0063426773   0.0011721623    0.010085974   0.0019073387
            815   0.0045396695   0.0011815799   0.0036003161  0.00085719775    0.005761329   0.0017805323
            820    0.006993323   0.0013679319   0.0052286359   0.0010024219   0.0095273513   0.0019574631
            825   0.0054947538   0.0012734753   0.0043282734  0.00098130161   0.0070271669   0.0017302876
            830   0.0055019716   0.0011729868   0.0040594022  0.00086998012   0.0076449221   0.0016445665
            835   0.0048260733   0.0014355747   0.0036474086   0.0010283323   0.0064803688   0.0020983561
            840   0.0052837776   0.0012064377   0.0041645596  0.00093270435   0.0067343848   0.0016085759
            845   0.0078644199    0.001852378   0.0058933927    0.001332239    0.010683027   0.0026849883
            850   0.0049952307   0.0011714269   0.0040256217  0.00093693033   0.0061272636   0.0015385254
            855   0.0063232117   0.0012669559    0.004623097  0.00093209238   0.0088671797   0.0018007658
            860   0.0054947538   0.0012235155   0.0043947854  0.00096822254   0.0067962163   0.0016081971
            865   0.0044957076   0.0010595955   0.0034757393  0.00082681982   0.0058544611    0.001406822
            870   0.0027473769  0.00090048299   0.0025043816  0.00078224071   0.0028010811  0.00094869993
            875   0.0039961846   0.0011169117   0.0031061367  0.00081742544    0.005176566   0.0016038086
            880   0.0027473769   0.0009672739   0.0022706645    0.000734963   0.0032071708   0.0013781667
            885   0.0012488077  0.00074924714  0.00099451195  0.00052297701   0.0015425946   0.0011302682
            890   0.0029971384  0.00086515607   0.0022989126  0.00066670153   0.0039759173    0.001156829
            895   0.0029971384  0.00099899618    0.002624992  0.00081284546   0.0031278347   0.0012847131
            900   0.0039961846  0.00099899618   0.0032913069   0.0008352391   0.0047773723   0.0012409067
            905   0.0029971384  0.00099899618   0.0022674213  0.00070983247   0.0040134754   0.0014779811
            910    0.003746423   0.0010886309   0.0029268553  0.00080709216    0.004816903    0.001530391
            915    0.003746423   0.0010297417   0.0027801336  0.00073688959   0.0051757457   0.0015302188
            920      0.0032469  0.00090048299   0.0023122289  0.00064567069   0.0047406741   0.0013244938
            925      0.0032469   0.0010297417   0.0028348604   0.0016318401   0.0033255771   0.0011016509
            930      0.0032469   0.0009672739   0.0024334499  0.00071535702     0.00444393    0.001376248
            935   0.0014985692  0.00078977583   0.0013603688  0.00061040061   0.0015581495  0.00098099811
            940   0.0022478538   0.0009672739   0.0019377495  0.00063893488   0.0023858951   0.0014422401
            945   0.0024976154  0.00086515607    0.001683287    0.002085847   0.0026558537  0.00082545262
            950      0.0032469   0.0009672739   0.0024190461  0.00071317229   0.0044486932   0.0013554113
            955   0.0027473769  0.00090048299    0.002169062  0.00068979922   0.0035120063   0.0012265129
            960   0.0019980923  0.00070639698    0.001558779  0.00055259074   0.0025646741  0.00091211394
            965   0.0017483308  0.00066077387   0.0013117774  0.00049718059   0.0023818188  0.00090409749
            970   0.0024976154  0.00078977583   0.0019155294  0.00060979275   0.0032954849   0.0010562264
            975   0.0030971701   0.0022137481   0.0021756248   0.0014112492   0.0045600254    0.003632589
            980   0.0019980923  0.00070639698   0.0014950906  0.00053134427   0.0027187281  0.00096984103
            985   0.0019980923  0.00070639698   0.0014457425  0.00051364549   0.0028562862   0.0010176868
            990  0.00074928461  0.00066077387 -0.00027002226   0.0017266761   0.0010192674  0.00043078819
            995   0.0025631797   0.0009711013    0.001822849  0.00066514582   0.0037160572   0.0014937401
           1000   0.0025631797   0.0009711013    0.001822849  0.00066514582   0.0037160572   0.0014937401
