#    pt_ep-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      12.067881      0.1352389      9.7208336     0.10541699       15.56402     0.19271054
              1      36.306442     0.23406135      29.340024     0.18530551      46.619581     0.34188199
              2      60.977093     0.30195419      49.256302     0.23763878      78.430816     0.43593318
              3      85.579959     0.35834418      69.109211      0.2803432      110.06896     0.50981425
              4      109.13317     0.40410022      88.076868      0.3160128       140.4978     0.57450755
              5      133.85334     0.44683295      108.08726     0.35153919      172.12181     0.63998492
              6      159.58006     0.48926249      128.98397     0.38388461      204.82792      0.6973471
              7      184.83046      0.5254681      149.30571       0.411785      237.54373     0.74790278
              8      209.61783     0.55894688      169.35993     0.43782337      269.25733     0.79328314
              9      236.08679     0.59223884      190.82186     0.46530641      303.09663     0.84287427
             10       262.9022      0.6355586      212.42553     0.49917585      337.66669     0.90745658
             11      291.57625     0.65835157      235.81401     0.51800955       373.8578     0.93769759
             12      318.23935     0.68541077      257.22467     0.53895571      408.39333     0.97384557
             13      344.72149     0.71430586      278.75748     0.56116345       441.9856      1.0144684
             14      373.58463     0.74400501      302.03484     0.58578212      479.00414      1.0609107
             15      402.33988     0.77095408      325.58209     0.60978431      515.30016      1.1066735
             16      430.05532     0.80133522      347.92799     0.63244926      550.80294      1.1498211
             17       460.3171     0.82384935      372.26937     0.64818641      590.19619       1.173385
             18      489.83918       0.849551      395.97633     0.66892257      628.13257      1.2108928
             19      517.50319     0.87341104      418.36514     0.68812115      663.64636      1.2449981
             20      544.79308     0.89551543      440.32652       0.705011      699.15341      1.2744064
             21      572.58175     0.91884039      462.80845      0.7215598      734.67781      1.3054001
             22      600.85214     0.94082311      485.86842     0.74119517      770.40941       1.341366
             23      627.51305     0.96212978      507.32696     0.75600012      805.28867      1.3704131
             24       651.9373     0.98204642      527.12028      0.7711926      836.66828      1.3997835
             25      677.35568      1.0031874      547.55439     0.78910956      869.62969      1.4373314
             26      701.01801      1.0184194      566.87361     0.80137435      899.73491      1.4618675
             27      722.48362      1.0370592      584.05298       0.812931      928.27706      1.4826831
             28      742.32322      1.0526926      599.89511     0.82631168      954.49031       1.510104
             29      761.91743      1.0652213      616.43961     0.83506818      978.54486      1.5267778
             30      779.58819       1.077896        630.285      0.8456341      1002.6785      1.5529753
             31      791.99329       1.089758       640.2451     0.85387681      1019.4059      1.5652986
             32      802.30023      1.0960397      648.87279     0.85777824      1032.2816      1.5787246
             33      810.77328      1.1071655      655.55891     0.86511232       1044.338       1.593556
             34      810.16053      1.1042581      655.01325     0.86277817      1044.2058      1.5925157
             35      808.13337      1.1048379      653.77156     0.86468061      1041.1614      1.6010052
             36      798.35989      1.0980489      645.66702     0.86118325      1029.3623      1.5966862
             37       786.2827      1.0910777      636.03431     0.85467585      1013.3527      1.5898919
             38      768.20246      1.0782309      621.47861     0.84264896      989.95958      1.5616856
             39      740.29237      1.0576738      598.87303     0.83183853      953.34711      1.5380547
             40       711.2026      1.0348533      575.36244      0.8124367      914.70642      1.4975957
             41      677.23942      1.0077111      547.64236     0.78836191      870.87783      1.4434693
             42      640.23915     0.97817006      518.06954     0.76738305       821.0146      1.3993727
             43      607.10442     0.94988862      490.81301     0.74995404      778.46928      1.3628168
             44       569.8705     0.91774444      460.72342     0.71911959      729.58865      1.2926428
             45      535.98792     0.89253886      433.43572     0.70755952      685.11431      1.2752026
             46      502.25962     0.85647247      405.83163     0.67292634      641.86602      1.1960419
             47      470.89095     0.82588994      380.61954     0.65195657      600.79766      1.1549004
             48      440.55689     0.79790291      355.89253      0.6303333      561.85706       1.113284
             49       414.6487     0.77231125      335.13013     0.61274999      528.15355      1.0769669
             50      387.94667     0.74986705      313.53687     0.59156062      493.56828      1.0358017
             51      365.44513     0.72231548      295.34841     0.57261646      464.70634      1.0011097
             52      342.87207      0.6983518      277.27095     0.56690897      435.22794      1.0007196
             53      323.33372     0.68026247      261.38007     0.53963011      410.35544      0.9382086
             54      305.05728     0.65584669      246.60476     0.53341511      386.96182     0.92980652
             55      287.65438     0.63579756      232.27023     0.50410161      365.38457     0.86780464
             56       269.9286     0.61675276      218.13224     0.48961682       342.2182     0.84248713
             57      254.86325     0.59880858      205.92634      0.4772642      323.06243     0.82056659
             58      241.17657     0.58148393      194.75289     0.46099457      305.90139     0.78899899
             59      228.36416     0.56562456      184.42854     0.44809396      289.52257     0.76536507
             60      216.21779     0.54929232      174.71226     0.43644854      273.86077     0.74393356
             61      205.35778      0.5367132      165.97393     0.42941117      259.91064     0.73573212
             62      194.65466     0.53339104      157.27429     0.42515979      246.43909     0.73127597
             63      184.96325     0.50633917      149.54754     0.40434067      233.82527     0.68899932
             64      174.54861     0.49142869      141.09933     0.39347073      220.68856     0.67075865
             65      166.05784     0.47953158      134.14987     0.38155249      210.07882     0.64565883
             66      158.94057     0.47585623      128.46098     0.37753411      200.90292     0.64201681
             67      151.06762     0.45803137       122.0266     0.36390092      191.08303     0.61407767
             68      143.94729     0.44557614      116.25179     0.35414687      182.10404     0.59620479
             69      137.60964     0.43486353      111.29531     0.34992723      173.70451     0.59331345
             70      130.70962     0.42838101      105.57041     0.34275828      165.27249     0.58335767
             71      124.46334     0.41531492      100.62134     0.33119838      157.15101     0.55879954
             72      118.54077     0.40431719       95.84603     0.32225539      149.64195     0.54385717
             73      113.27565     0.39571318      91.587611     0.31516302      142.93533     0.52979237
             74      108.12512     0.38616622      87.499188     0.31221779      136.25996     0.53247014
             75      103.79503     0.37650751      83.920753     0.30179318      130.98995     0.50742608
             76      98.805051     0.36809971      79.856155     0.29386855      124.70905     0.49320854
             77      94.732916      0.3609579      76.547311     0.28875361      119.61447     0.48676105
             78      90.616326     0.35332628      73.325914     0.28284115      114.18287     0.47420799
             79       86.77686     0.34529413      70.200044     0.27591411      109.35955     0.46339881
             80         83.575     0.33853194      67.596152     0.26985728      105.36656     0.45166842
             81      79.709371     0.32974418      64.410527      0.2656536      100.60547     0.44569351
             82      76.473112     0.32287139      61.853057      0.2582697      96.413339     0.43349601
             83      73.581247      0.3204687      59.502254     0.25542106      92.763008     0.42876137
             84      70.712053     0.31131007      57.206597     0.24892169      89.082575     0.41563251
             85      67.336612     0.30398192       54.52488     0.24325964      84.717317     0.40742416
             86      65.164962     0.30071001      52.703647     0.24058726      82.122446     0.40245751
             87      62.253146     0.29115891      50.364264      0.2322774      78.433638     0.38613709
             88      59.650068     0.28975081      48.275219     0.23088386      75.096607     0.38584116
             89      57.080531     0.28057239      46.208679     0.22452023       71.84971     0.37607245
             90      55.409598      0.2749772      44.824664     0.21990354      69.782175      0.3663862
             91      53.106377     0.26833092      43.036373     0.21613813      66.740658     0.36194296
             92      50.930264     0.26533321      41.236417     0.21321232      64.076457     0.35782203
             93      49.093965      0.2600767      39.764876     0.20750861      61.732962     0.34469808
             94      47.283567      0.2526348      38.255559     0.20197395      59.555029     0.33417956
             95       45.99525     0.26250756      37.223948     0.20760391      57.918461     0.35103442
             96      44.176498     0.24543692      35.865303     0.20878041      55.365029      0.3555382
             97      42.310945     0.24003438      34.364024     0.19492133      53.006738     0.32450691
             98      40.929568     0.23525638      33.154864     0.18943149      51.435037     0.31424126
             99      39.314866     0.23064834      31.883426     0.18669299       49.34901     0.31093945
            100      39.314866     0.23064834      31.883426     0.18669299       49.34901     0.31093945
