# pt_bbZ-zoom-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0    0.013736885   0.0041416194   0.0099772654   0.0030337829    0.019679905   0.0060025583
              1    0.049914088   0.0084045999     0.03695911   0.0060673577    0.069913672    0.012323767
              2    0.057174884   0.0085774299    0.042880318   0.0066334446     0.07897399     0.01244527
              3    0.093071388    0.011112449    0.067444801   0.0080379738      0.1336159    0.016225727
              4     0.12871988    0.015517378    0.093384324    0.010822592     0.18459485    0.023890108
              5     0.12841772    0.013131876    0.098022225    0.010541102     0.17299555    0.019585254
              6     0.16268227    0.014874933     0.11734581    0.010506424     0.23493386    0.022486243
              7     0.20806729    0.018114108     0.15148051    0.012940679     0.29649014    0.026828455
              8      0.2640589    0.018828235     0.19501528    0.013716039     0.37064817    0.027713975
              9     0.25186949    0.018760409     0.18406785    0.013630965      0.3577617    0.027560727
             10     0.26751445    0.019471629     0.19506493    0.014077696     0.38108773    0.028608057
             11      0.3280562    0.023533292     0.23805282    0.016673146     0.47055056    0.035324129
             12     0.32256154    0.020937823      0.2327428    0.015089943     0.46411086    0.030802804
             13     0.37450294    0.027720691     0.27569269    0.019630143     0.52766127    0.041936413
             14     0.35994059    0.022211424     0.26410827     0.01611609     0.50859647    0.032548666
             15     0.39486135    0.023794461     0.29086118    0.017522028     0.55605819    0.034829642
             16     0.44920205    0.028150938     0.32445742     0.01977972     0.64651931    0.042601396
             17     0.44200956    0.024549968     0.32009173     0.01773055     0.63437672    0.036112244
             18     0.43623226    0.026188658     0.32013644    0.018884052     0.61770857    0.038959016
             19     0.44940396    0.025055954     0.32565374    0.018050012     0.64433733    0.036874337
             20      0.5688115    0.045140548     0.41288024    0.030390254     0.81484213    0.070759566
             21     0.55612638    0.033839655     0.40673715    0.023817487     0.78994486    0.050981374
             22     0.59084197    0.030715105     0.43181917    0.022010051     0.83959024    0.045482958
             23      0.6468372    0.032008532      0.4710185    0.022957614     0.92340803    0.047656234
             24     0.65547771    0.033105478     0.47894429     0.02364387     0.93088124    0.049277675
             25     0.63743469    0.029109765     0.46414698    0.021218282     0.90972134    0.042820964
             26     0.67013854    0.030648208     0.48960878     0.02220228     0.95076309    0.044846406
             27     0.69038677    0.033913899      0.5077028    0.024717766     0.97234893    0.049738229
             28     0.70094458     0.03120978     0.50858849    0.022418561      1.0049141    0.046290129
             29     0.76398328    0.032706721     0.55695288     0.02347329      1.0882528    0.048802885
             30     0.76707514    0.034206682     0.56315006    0.024644696      1.0848348    0.051029272
             31     0.81596023    0.041237475     0.59419155    0.028599073      1.1644379    0.063413748
             32     0.85797222    0.037318626     0.63566616    0.027159795      1.1999605    0.056271399
             33     0.83204115    0.034283287     0.61234115     0.02491465      1.1731082     0.05039699
             34     0.90095012    0.053976391     0.67050762     0.03906349      1.2530411    0.083910722
             35      0.9564982    0.039530096     0.69542035    0.028312809      1.3659637    0.058286757
             36     0.94442599    0.037697231     0.69149035    0.027293883      1.3389059    0.055545191
             37       0.925923    0.035769012     0.67422367    0.025875763      1.3216369    0.052437383
             38     0.94984557     0.04644588      0.6948583    0.032203278      1.3475564    0.070985415
             39     0.98069019     0.04267296     0.71798588    0.031266252      1.3904642    0.065176872
             40      1.0417242    0.044670064     0.76340785    0.031601819      1.4746351    0.067268477
             41      1.0357758    0.038797263      0.7546884    0.028088698      1.4759726    0.057094659
             42      1.1105232    0.039253621     0.81126585    0.028430023       1.577773    0.057740046
             43      1.0804956    0.040307834     0.79136996    0.029160403      1.5321419    0.059388763
             44      1.0877316    0.039949118     0.79746645    0.029050206       1.539714    0.059215996
             45      1.0652451    0.039842554      0.7789481    0.028627617      1.5108473    0.058776884
             46      1.2280521    0.074739565     0.89026672    0.050763258      1.7591525      0.1154287
             47      1.1821571    0.043743391       0.865024    0.031483065       1.677115    0.064717318
             48      1.1400128     0.04012419     0.83673574    0.030014767      1.6123927    0.063800484
             49      1.1388675    0.040573164     0.83778575    0.029412524      1.6044255    0.059629831
             50      1.1388675    0.040573164     0.83778575    0.029412524      1.6044255    0.059629831
