#    y_j1-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
            2.8       1655.082      4.7827431      1325.6979      3.7878572      2107.4451      6.5533607
            2.9       1525.734      4.5875548        1220.95      3.6480642      1945.0798      6.3273402
              3      1390.0781       4.393325      1112.9904      3.4631621      1770.7424      5.9908609
            3.1      1255.6614      4.1698062      1003.6978      3.2837513      1603.3757      5.6849379
            3.2      1119.7558      3.9485508      896.36819      3.1080015       1427.273      5.3894367
            3.3      1007.7796      3.7402719       807.2217      2.9809778      1283.4076      5.2076401
            3.4      890.43758      3.5186569      711.79202      2.7691996      1137.4513      4.8113766
            3.5      778.89836      3.3006522      622.55442      2.5909056      995.16703      4.5107224
            3.6      678.86747      3.0796335      541.72437      2.4101309        869.426      4.2171999
            3.7      587.59559      2.8697841      468.94981       2.247374      752.42856      3.9161255
            3.8      496.75667      2.6376012      396.70728      2.0649896      635.66949      3.6086202
            3.9       419.3906      2.4233147      334.87848      1.9091057      536.79241      3.3463354
              4      352.89525      2.2218547      281.08113      1.7387982      453.32725       3.059676
            4.1      288.72307       2.021682      230.24513      1.5751952      370.49929      2.7754455
            4.2      236.44487      1.8288279      188.35511      1.4282357      303.85207      2.5371751
            4.3      194.94604      1.6562951      154.73033      1.2862097      251.82622      2.2726088
            4.4      155.11038      1.4804203      123.04976      1.1501297       200.6367       2.033901
            4.5      44.885425      0.7965867      35.801584     0.62068606      57.676467      1.0905734
            4.6      35.200704     0.70493114      27.940516     0.55064046      45.545055     0.97509746
            4.7      24.172649     0.59348711      19.224351     0.45889877      31.210607     0.81626597
            4.8      18.765509     0.51749558      14.904686     0.40205904       24.25745      0.7022087
            4.9      13.426863     0.43712244      10.674647     0.33888991      17.344257     0.59788901
              5      13.426863     0.43712244      10.674647     0.33888991      17.344257     0.59788901
