#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      3.4186678    0.012278734      2.7530473    0.010066084      4.3521989    0.016788928
             50      2.5890718    0.011980079      2.0861324   0.0095842726      3.3032975    0.016019926
             75      2.0878682    0.010813032      1.7023254   0.0087152352      2.6351759    0.014277127
            100      1.4020816   0.0088708175      1.1522644   0.0071966522      1.7542489    0.011692259
            125     0.88897223   0.0071172953     0.73376451   0.0057714531      1.1068205   0.0092915529
            150     0.49922757   0.0037753383     0.41561514   0.0030974893     0.61484015   0.0049152548
            200     0.24350662   0.0027300996     0.20375921   0.0022328215     0.29834929   0.0035726629
            250     0.13113373   0.0019765585      0.1092073   0.0016160526     0.16131734   0.0025576321
            300    0.065038124  0.00097967079    0.054318462  0.00080550598    0.079682573    0.001265753
            400    0.029060211  0.00075733599    0.024296653  0.00060323706    0.035567788   0.0010296166
            500    0.029060211  0.00075733599    0.024296653  0.00060323706    0.035567788   0.0010296166
