# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      71.578707      0.3125032      56.864691     0.24531137      91.645597     0.42766978
              1      225.88331     0.71618292        180.216     0.56440512      287.87523     0.96967685
            1.6      379.80456      1.1319996      304.66838     0.90149058       481.3304      1.5260829
              2      600.76201      1.4326588      484.69644      1.1403983      757.38519      1.9134064
            2.4      878.21093      2.4560409      712.99284      2.0181321      1100.7311      3.4471255
            2.6      1186.6586      2.8600117      967.28708      2.2984938      1483.6882      3.8200328
            2.8      1675.4092       3.441282       1374.825      2.7689248      2085.1438      4.6209851
              3      2260.0199      4.0296061      1873.6426      3.2819341      2793.9973      5.4928037
            3.2      1288.0708      3.0433121      1066.0398      2.4720404       1594.661      4.1189154
            3.4      846.14568      2.4502812      698.64104       2.015485      1049.9049      3.3817087
            3.6      534.98307       1.367669      441.49892      1.1473233      663.76095      1.9262179
              4      307.31096      1.0359652      253.24332     0.84265164      381.98017      1.3710877
            4.4      151.74756     0.58911107      125.19085      0.4799071      188.39857     0.77215812
              5      57.084118     0.36619066      47.212013     0.29812453      70.489656     0.47994348
            5.6      57.084118     0.36619066      47.212013     0.29812453      70.489656     0.47994348
