#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      381.78066     0.77743359      306.31333     0.60455404      495.84105      1.1717268
              1      1068.5049      1.2798491      856.00483     0.99121967      1390.8196      1.9156635
              2      1559.2935       1.529982      1249.3496      1.1856666      2028.1902      2.2719629
              3      1833.5059       1.646062      1469.4497      1.2789172        2383.19      2.4327073
              4      1933.2837      1.6825656      1550.2052      1.3082077      2509.0348      2.4677836
              5       1917.188      1.6722462      1538.7407      1.3032519      2483.7548      2.4378765
              6      1831.2143      1.6289908      1471.4882      1.2670032      2366.7628      2.3477479
              7      1713.6352       1.574758       1378.148      1.2287929      2211.3056      2.2613739
              8      1583.6011        1.51076      1275.1426      1.1815429      2039.5816      2.1566404
              9      1448.7464      1.4446561      1167.8911      1.1308084      1861.8672      2.0520903
             10      1327.4113      1.3803939      1070.9839      1.0865796      1703.1099      1.9626024
             11      1205.3315      1.3234741      973.14581      1.0392594       1544.617      1.8657635
             12      1098.4847      1.2631327      887.75579      0.9946542      1405.3915      1.7792174
             13      997.34143      1.1980855      806.60137     0.94719792       1274.641      1.6867726
             14      909.99349      1.1426688        736.563     0.90293284      1161.3206      1.5987724
             15      831.03542      1.0929494       673.1389     0.86387858      1059.3657        1.52199
             16      759.86781      1.0421786      615.78314     0.82478234      967.46491       1.447411
             17      696.05383     0.99690389      564.29852     0.78930416      885.73891      1.3833065
             18      637.33298       0.954532      517.16555     0.75755831      809.86841      1.3261078
             19      583.56413     0.91416381      474.05264     0.72666727      740.44925       1.265427
             20      538.72623     0.87839517      437.74973     0.70043651      683.14993      1.2167025
             21      496.33004     0.84103288      403.45548     0.66992738      628.90961      1.1591901
             22       458.3816      0.8093747      372.54829     0.64326805      580.94003      1.1103895
             23      422.75525     0.77679646      344.11899     0.62165649      534.50126      1.0730517
             24      390.89589     0.74614806      318.43082     0.59986853      493.65046      1.0318627
             25      363.01741     0.72057596       295.5421     0.57396566      458.70453     0.98401365
             26      338.60956     0.69691632      275.82447     0.55545566      427.56179     0.94997261
             27      315.16641     0.66855767      256.83753     0.53477592      397.61257     0.91427938
             28      293.44947     0.64468006      239.23364     0.53016398      370.05228     0.91620563
             29      274.25825     0.62337056      223.54138     0.49863995       345.9522     0.84588707
             30      254.07579      0.6003712      207.27422     0.47985418      320.02161     0.81338442
             31      238.39524     0.58177241      194.41121     0.46556059      300.42897      0.7893455
             32      223.64838     0.56456108      182.49671     0.45156757      281.61274     0.76392022
             33      208.59696     0.54474688       170.4156     0.43732594      262.16772     0.74001629
             34      196.69542     0.52825732      160.70733     0.42300243      247.10578     0.71462726
             35      185.10756     0.52560365       151.2199     0.41923484      232.53685     0.71263697
             36       174.4874     0.49736751      142.54857     0.39799304      219.26977     0.66910938
             37      163.85949     0.48151129      134.00022     0.38767886      205.60594     0.65312951
             38      154.74074     0.46886814      126.66905     0.38265691       193.8363     0.65234537
             39      144.86867     0.45278159       118.5296     0.36289731      181.60492     0.60728939
             40      137.97856     0.44177659      112.87389     0.35434083       173.0044     0.59259112
             41      130.14046     0.43541468      106.51184     0.34939661      163.03534     0.58520548
             42      121.81036      0.4173024      99.698161     0.33503128      152.57337     0.56104924
             43      116.60836     0.40732759      95.587037     0.33116043      145.80264     0.55722153
             44      110.24635     0.39392166      90.230522     0.31707986      138.11929     0.52746297
             45      105.08923     0.38471935      86.084487     0.30970335      131.47066     0.51480665
             46      98.895809     0.37346391      81.069249     0.30316818      123.60153     0.50654125
             47      94.410477     0.36525293       77.41101     0.29452358      117.92397     0.48918393
             48      90.091325     0.35672679      73.806868     0.28731512      112.68376     0.47675983
             49       85.79849     0.34819734      70.450343     0.28658292      106.97881     0.48467753
             50       85.79849     0.34819734      70.450343     0.28658292      106.97881     0.48467753
