#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      382.48402     0.77492086       306.7531     0.60163246      497.14149       1.164055
              1      1073.6376      1.2835607      860.63507     0.99314718      1396.4037      1.9059974
              2      1563.0738      1.5316533      1252.7904      1.1854545      2032.8831      2.2673131
              3      1836.3965       1.651091      1471.9666      1.2780764      2386.3802      2.4271177
              4      1935.6122      1.6845921      1552.4025      1.3050349       2511.238      2.4578871
              5      1918.5015      1.6715262      1540.0482      1.3060361      2484.4597      2.4446534
              6      1834.2609      1.6315338       1474.277      1.2762079      2370.2197      2.3696713
              7      1713.5484      1.5753742      1378.4905      1.2315086      2210.4062      2.2686807
              8      1582.2216      1.5119532      1274.4836      1.1808275      2036.6109       2.154707
              9      1454.1762      1.4470519      1171.9949      1.1353549      1869.3016      2.0607856
             10      1323.8327      1.3796502      1068.0068      1.0858638      1698.6697      1.9655449
             11      1204.0379      1.3179807      972.33697      1.0347359      1542.5061       1.857531
             12      1099.4507      1.2594936      888.43231     0.99170035      1406.5198      1.7733931
             13      1001.0447      1.1972788      809.89807     0.94513064      1278.4369      1.6818911
             14      910.13531       1.149971      736.79913     0.91351433      1161.3167      1.6276344
             15      830.79954      1.0902748      672.68171     0.86205283      1059.2868      1.5208863
             16       760.5766      1.0463618      615.97013     0.82640743      969.39629       1.452237
             17      695.72416     0.99678512      564.10443     0.78961996      885.18823       1.383131
             18      636.60506     0.95534917      516.59163     0.76030182      808.86213      1.3306263
             19      585.81139     0.91351745      475.39982     0.72341399       744.2222      1.2573745
             20      538.56711     0.87699739      437.33793     0.70461096      683.56728      1.2300833
             21      496.07234     0.84299215      403.10864     0.66964454      628.67937      1.1617626
             22      458.45655      0.8072362       372.6501     0.64163024      580.83043      1.1055588
             23        422.677     0.77463611      343.70707     0.62024156       535.1493       1.071883
             24      391.38918     0.74707738      318.45094     0.59468179       495.2038      1.0212883
             25      362.93765      0.7204401      295.88989     0.58185209      457.80229      1.0069103
             26      336.30446     0.69075604      274.11439     0.55329463      424.28688     0.94971814
             27      313.43283     0.66677428      255.32931     0.53406158      395.69003     0.91439754
             28      292.75347     0.64601814      238.62145     0.51749484      369.29199     0.88383793
             29      272.24054     0.62224235      222.02199     0.49761537      343.03009     0.84650823
             30      255.98115     0.60150926      208.72987     0.48069986      322.73473     0.81331203
             31      237.45418     0.59080653      193.78771     0.47170677       298.9659     0.80135846
             32      223.58614     0.56154413      182.45323     0.44944589      281.44652     0.76019031
             33      208.90926     0.54339023      170.61272     0.43543355      262.60923     0.73506098
             34      196.56544     0.52676171      160.58618     0.42196637      247.04615     0.71057236
             35       184.3317     0.51082475      150.54211     0.40950503      231.76124     0.69001351
             36      172.96474     0.49462465      141.41803       0.396635      217.12994     0.66739402
             37      163.38262     0.47987323      133.49836     0.38562848      205.23403     0.64872489
             38      153.49106     0.46580227       125.5311     0.37329755      192.51483      0.6264146
             39      145.26249      0.4566982      118.88276     0.38637826      182.06679     0.66307084
             40      137.30729     0.44150589      112.26267     0.35410648      172.30566     0.59423055
             41       129.3634     0.42659976      105.79565     0.34417592      162.25253     0.57618204
             42      122.32074     0.41565407      100.22493     0.33818254      153.02787     0.56811231
             43      115.80844     0.40339514      94.832383     0.32401847      144.95874     0.53941137
             44      109.90959     0.39774845      90.030641      0.3203198      137.48807     0.53623237
             45      104.10672     0.38513877      85.432936     0.31037359      129.90302     0.51847837
             46      99.471888     0.37419124      81.498365     0.30078914      124.37881     0.50042754
             47      94.185841     0.36289102      77.185934     0.30623505      117.74305     0.52791907
             48      89.305473     0.35372224      73.189073      0.2853031      111.64015     0.47080419
             49      84.456385     0.34513539      69.300956     0.27769615      105.36423     0.45975358
             50      84.456385     0.34513539      69.300956     0.27769615      105.36423     0.45975358
