#   y_j1-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            3.5      17.108046     0.48938316      13.379054     0.37529582      22.219602     0.69829308
            3.6       11.61415      0.3991137      9.0852671     0.30806154      15.070351     0.56338444
            3.7      6.5131167     0.30081433       5.058897     0.22790318      8.5569456     0.42952678
            3.8      4.5081958     0.25192351      3.5061936     0.19174247      5.9075669     0.35735263
            3.9      1.9980923     0.17212738      1.5354363     0.12774487      2.6545929     0.24947315
              4      1.2238315     0.12977329     0.92702163    0.096860017      1.6639809     0.18319889
            4.1     0.52449923    0.086515428     0.40761622     0.06511194     0.68921431     0.12335313
            4.2     0.13736885    0.048363695     0.10625882    0.037316151     0.18422671    0.065823557
            4.3    0.049952308    0.024974905    0.042113513    0.021281605    0.057978696    0.029966087
            4.4    0.024976154    0.017659925    0.017993005    0.012874495    0.036608903     0.02629147
            4.5              0              0              0              0              0              0
            4.6              0              0              0              0              0              0
            4.7              0              0              0              0              0              0
            4.8              0              0              0              0              0              0
            4.9              0              0              0              0              0              0
              5              0              0              0              0              0              0
