#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
            2.9      3205.0455      6.9823648      2589.6683      5.4681197      4113.5702      9.9539367
              3      2962.5814      6.7305807       2391.591      5.2600701      3804.7698      9.6187701
            3.1       2717.418      6.4439145      2192.6059       5.085023      3496.3571      9.3067379
            3.2      2484.2087      6.2094114      2005.8741      4.9328684      3193.7102      9.1661537
            3.3      2232.9889      5.8607524      1801.0711      4.5641819      2876.3244      8.3633229
            3.4      1983.8117      5.5324515       1600.167      4.3303541      2556.2994      7.9706275
            3.5      1768.8845      5.2431425      1427.5485      4.1048832      2277.0072      7.5311612
            3.6       1550.168      4.8918785      1250.7935      3.8174709      1996.2221      6.9897244
            3.7      1343.5025       4.555462      1082.6789      3.5471061      1733.2454      6.5151343
            3.8      1154.2314      4.2350184      930.45742       3.299461      1488.6898      6.0746912
            3.9       992.9599      3.9120298      800.61898      3.0671087      1280.5392      5.6402679
              4      837.01236       3.597604      674.12124      2.8038519      1080.7028       5.147906
            4.1      704.58978      3.3109803      568.63222      2.5835825      907.35001      4.7412623
            4.2      587.81853      3.0121274      473.52777      2.3721775      758.32134      4.3672706
            4.3      488.27359      2.7449942      393.54176      2.1512315      629.00869       3.957974
            4.4      405.27473      2.5097605      326.33748      1.9569166      523.08169      3.6133175
            4.5      331.49051      2.2707953      267.35606      1.7717933      426.77767      3.2567983
            4.6      270.36242      2.0541064       217.4926      1.5945847      348.51212      2.9255291
            4.7      222.90846      1.8599767      179.97548      1.4723001      286.61962      2.7073381
            4.8      181.75417      1.6873228      146.29483      1.3115187      234.83295      2.4020846
            4.9      149.32432      1.5257661      120.10487      1.1854337       192.5991      2.1636328
              5      149.32432      1.5257661      120.10487      1.1854337       192.5991      2.1636328
