#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      60.812909     0.13472851      49.100648     0.10563498      78.236236     0.19291935
              5       184.7937     0.23296449      149.31175     0.18272061      237.36948     0.33223308
             10      318.20478     0.30376174      257.25131     0.23867166      408.18151     0.43360128
             15      460.01093     0.36141569      372.02418     0.28461287      589.61564     0.51843288
             20      599.53546     0.40954321      484.69013     0.32150278      769.23951     0.58613932
             25      721.01959      0.4486196      582.96314     0.35156102      926.13537     0.64707441
             30      798.96311     0.47286669      645.99501     0.36918628      1028.5819     0.68577302
             35      780.25416     0.46951304      631.16491     0.36707182      1005.4366     0.68708683
             40      641.13122     0.42552484      518.52215     0.33342487      822.93136     0.61263036
             45      472.86882     0.36351029      382.18191     0.28695787      603.55772     0.51219396
             50      344.93097     0.30913515      278.82821     0.24703103      438.16396      0.4335653
             55      256.39739     0.26529372      207.10205     0.21049496      325.21783     0.36206968
             60      195.14842     0.23220523      157.72147     0.18527292      246.94486     0.31720094
             65      151.52459     0.20388676      122.43691     0.16234361      191.57466     0.27497829
             70       119.0229      0.1806858      96.224915     0.14449221      150.25215     0.24480279
             75      94.945236     0.16073409      76.770035     0.12856129      119.77118      0.2161637
             80      76.810157     0.14469927      62.113718     0.11573227      96.846191     0.19403027
             85      62.297064     0.13081539      50.415338     0.10452038      78.443944     0.17475288
             90      51.164754     0.11795198      41.423578    0.094508362      64.377456     0.15762468
             95      42.545426     0.10847303      34.498313    0.088241763      53.414855     0.14812904
            100      35.352402    0.098842176        28.6335    0.079319117       44.41901     0.13212935
            105      29.657716    0.090128867      23.983134    0.072087684      37.303627     0.12121109
            110      24.899127    0.082274283       20.13849    0.066042891      31.290635     0.11094278
            115      21.193009    0.076279331      17.121743    0.063180262      26.651557     0.10872093
            120      18.178569    0.070415081       14.65358    0.056155868      22.925851    0.095042463
            125       15.55063    0.065053826      12.530057    0.054992123      19.609821    0.095160647
            130      13.362702    0.060343491      10.746681    0.048147272      16.887473    0.081735651
            135      11.723416    0.056406617      9.3969685    0.044684502      14.873111    0.075794112
            140      10.074246    0.052314708      8.0800729    0.041403341      12.766231    0.070281423
            145       8.864669     0.05147328      7.1028756    0.040593313      11.242708    0.071587483
            150      7.6513478    0.045824229      6.1368165    0.036269686      9.6892255    0.061989164
            155      6.7296978    0.042913876      5.3903649    0.033967216      8.5317966    0.058287029
            160      5.9587671    0.040149428      4.7661782    0.031940743      7.5709689    0.054682046
            165      5.1596378     0.03770977      4.1316807    0.029784647      6.5398395    0.051328244
            170      4.7038638    0.036856355      3.7602046    0.028983386      5.9730098    0.050953898
            175      4.1582655    0.043211533      3.3238828    0.032424927      5.2784746    0.062082404
            180      3.6529244    0.032129733      2.9162186    0.025253229      4.6439662    0.043907858
            185      3.2862244    0.030001391      2.6191447     0.02353242      4.1870828    0.040843566
            190      2.9078161    0.028330286      2.3257472       0.022245      3.6844299    0.038571858
            195       2.641723    0.028178508      2.0956979    0.021838995      3.3860199    0.038873813
            200      2.3449134    0.025522053      1.8676933    0.019971987      2.9878498    0.034755068
            205      2.1181033    0.024335639      1.6803864    0.018970067      2.7130044    0.033201989
            210      1.9244553    0.023260096      1.5227103    0.018096491      2.4719732    0.031729429
            215      1.7067245    0.022318259      1.3525332    0.017238052      2.1882089    0.030628476
            220      1.5622677    0.020768839      1.2429237    0.016319626      1.9927133    0.028631244
            225      1.4059748     0.01982793      1.1146655    0.015375699      1.8009174    0.027112043
            230      1.2535154    0.018594644      0.9960339    0.014686786      1.5986747    0.026253638
            235      1.1809793    0.017934947     0.93829333     0.01409224       1.508153    0.024370782
            240      1.0904922    0.017632741     0.86370607    0.013642994      1.3962942    0.024269931
            245     0.97513832    0.016200816     0.77086078    0.012629723      1.2527416    0.022021723
            250      0.8789723    0.015790882     0.69539044     0.01223322      1.1276641     0.02160732
