#          y_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5        234.955      2.0003171      189.52455      1.5347988      307.42562       2.931121
           -4.9      287.37262      2.2248117      231.91957      1.7094927      375.87375      3.2525883
           -4.8      343.99901      2.4165776      278.79506      1.8619596      447.68248      3.5593416
           -4.7      416.92276      2.9801603      337.00508      2.2732638      542.43043      4.3374214
           -4.6      494.89182      2.8792921      399.58474      2.2184852      644.75561      4.2047976
           -4.5      581.37381      3.1126782      469.95846      2.3994054      756.17112      4.5303074
           -4.4      671.06093      3.3487881      542.28601       2.578167      872.04086      4.8644835
           -4.3      775.29432      3.5849117      627.50953      2.7822468      1005.5567      5.2359609
           -4.2      883.26084      3.8141386      714.85654      2.9462983      1142.7402       5.531274
           -4.1      996.32353      4.0609004      807.35689      3.1532226      1287.1317      5.9239949
             -4      1133.7068      4.2986018      917.27627      3.3386318      1466.1443      6.2288357
           -3.9      1260.4887      4.5331215        1019.62      3.5118468      1629.8594      6.5539712
           -3.8      1399.9952      4.7398897      1133.1828      3.6918822      1806.6986      6.8698273
           -3.7      1542.4557      4.9632861       1248.631      3.8628669      1988.3008      7.1628785
           -3.6      1694.0069      5.1903945      1371.7067      4.0395038      2181.2041      7.4648993
           -3.5      1843.8869      5.4013405      1492.8809      4.2107672      2371.8181      7.7779462
           -3.4      2013.8186      5.6047942      1630.1615      4.3678924      2590.1262      8.0308694
           -3.3      2171.1025      5.8411245      1757.8012      4.5843765      2789.1626      8.4726251
           -3.2      2346.4443      6.0171454      1899.4356      4.7011008        3014.87       8.601031
           -3.1      2503.4287       6.214538      2027.8663      4.9918564      3210.4936       9.152745
             -3      2675.9344       6.397181      2167.4285      5.0058551      3430.1305      9.1030934
           -2.9      2838.9298       6.563279      2297.8024      5.1336393      3640.1632      9.3064771
           -2.8      3026.4573      6.7694601      2448.8935      5.2971856      3880.2849      9.5905132
           -2.7      3195.2964      6.9184312      2585.9552      5.4445543      4092.7932      9.8253815
           -2.6      3364.5748       7.106471      2724.2005      5.5872724      4302.9474      10.076075
           -2.5      3545.6531      7.2591284      2866.7118      5.6899443      4543.6414      10.226456
           -2.4      3711.8737      7.4176757      3003.7171      5.8217402      4750.9276      10.449022
           -2.3      3876.1644      7.5490334      3135.4991       5.940792      4959.3008      10.633019
           -2.2      4012.3298      7.6867029      3246.7479      6.0507413      5129.2316      10.813942
           -2.1      4180.3194       7.925187      3382.0447      6.2497216       5342.034      11.251718
             -2      4355.9841      7.9622703      3522.3383      6.2620999      5568.1154        11.1464
           -1.9      4494.5817      8.0732417      3634.5055      6.3666981      5744.9494        11.3329
           -1.8      4652.1586      8.2402646      3763.7587      6.5437293      5940.0205      11.676817
           -1.7      4783.2503       8.317337      3867.5014      6.5524654      6109.2493      11.616332
           -1.6      4924.1244      8.4266645      3981.3407      6.6396567      6286.9177      11.775725
           -1.5       5062.416      8.5216987       4092.809      6.7226305      6462.4771      11.899212
           -1.4      5170.2202      8.6021866      4180.4364      6.8010069      6596.8176      12.069607
           -1.3      5311.6966      8.6964515      4292.7355      6.8906438      6782.3095       12.18982
           -1.2      5404.5706      8.7852744      4368.4076      7.0419027      6897.7745       12.51526
           -1.1      5532.4786      8.8830778      4472.2369        7.02757      7058.4989      12.397406
             -1      5630.2042      8.9487857      4549.4169      7.1170927      7188.2876      12.558716
           -0.9      5709.4916      8.9988264      4613.1923      7.1086028      7287.3316      12.492107
           -0.8      5767.1957      9.0435892      4662.8261      7.1937894      7352.4384      12.672506
           -0.7      5829.4492      9.0958334      4710.0394      7.1912753      7438.4295      12.647241
           -0.6      5918.9081      9.1375814      4785.9504       7.263484      7543.9205      12.779284
           -0.5      5965.8351       9.201944      4821.1667      7.2829023      7610.6157      12.807649
           -0.4      6015.1566      9.2039055      4861.4436      7.3122567      7670.8145      12.873731
           -0.3      6018.5278      9.2049036      4865.8401      7.3033348      7669.9223      12.846969
           -0.2      6047.9664       9.229493      4888.3183      7.3012212      7711.3833      12.802359
           -0.1      6041.6108      9.2272962      4882.4165      7.3125384      7705.4814      12.853856
              0      6049.7881      9.2315659       4888.122      7.3055308      7718.6392      12.828357
            0.1      6031.6712      9.2515131      4877.7512      7.3918675      7684.6828       13.06989
            0.2       6032.663      9.2224785      4877.5041      7.3535244      7686.8758      12.982383
            0.3      5994.9779      9.2131157       4843.678      7.3246126      7648.8083      12.925395
            0.4      5949.9327      9.1600976      4811.5059       7.383772      7582.0711      13.065911
            0.5       5919.744       9.141619      4782.0535      7.2358974      7557.6866      12.711789
            0.6      5839.0181      9.0842727      4718.2352      7.1814345      7450.3421       12.64552
            0.7      5780.3084      9.0809224      4671.1575      7.2036327      7374.8302      12.746914
            0.8      5699.5622      8.9779134      4608.4628      7.1491556      7266.4451      12.634173
            0.9      5612.8575      8.9243449       4538.349      7.0584454      7159.3254       12.47549
              1      5523.7817      8.8838094      4463.6812      7.0064699      7048.2199      12.361564
            1.1      5413.9956      8.8585063      4375.6755      7.0063002      6911.8347      12.435872
            1.2      5308.8468      8.7045618      4292.6705      6.9256408      6775.6389      12.315576
            1.3      5186.8742      8.6110532        4190.64      6.8194205      6628.5804      12.127083
            1.4      5034.8158      8.5076633      4073.5811      6.8330103      6420.2397      12.222175
            1.5      4928.6789      8.4148014      3983.7494      6.6375058      6297.7598      11.786705
            1.6      4799.1217      8.3303386      3879.8952      6.5794381      6131.6623       11.74035
            1.7       4656.232      8.2227448      3765.6053      6.5228696      5948.6405      11.718122
            1.8      4501.9192      8.1029195      3640.0202      6.3827209      5754.1999      11.432044
            1.9      4356.3006      7.9937874      3523.7465      6.2931317      5568.1041      11.284977
              2       4186.959      7.8406353      3388.4031      6.1918477      5349.4222      11.164787
