# total-mbbZ150        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       17188.84      4.1073118      13750.517      3.1153271      22351.861       6.374281
              1       17188.84      4.1073118      13750.517      3.1153271      22351.861       6.374281
