# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      1726.1123      4.8702737       1408.239      3.9921816      2173.1281      6.5331802
            0.1      793.46059      3.3343773      643.73266      2.6780176      1004.0597      4.4250368
            0.2      369.29511      2.2808462      301.43223      1.8392062      464.35314      3.0161831
            0.3      203.52952      1.6977916      166.86914      1.3683017      254.82201      2.2266526
            0.4      122.13774      1.3254597       100.5544      1.0718735      152.17538       1.745121
            0.5      76.577544      1.0385785      63.193927     0.84148282      95.117368      1.3567983
            0.6      42.838806     0.79425657      35.451494     0.64289382      53.106934      1.0408167
            0.7      25.188704     0.60426746      20.964368     0.49289053      31.029306     0.78978264
            0.8      8.3809707     0.24624526       6.982447     0.20029068      10.293857     0.32003215
              1      8.3809707     0.24624526       6.982447     0.20029068      10.293857     0.32003215
