#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
            2.9      3881.0022       7.733747      3136.3352      6.0888308      4976.7116      11.114455
              3       3679.362      7.5101425       2971.092      5.8661857      4726.7266      10.733335
            3.1      3471.3255       7.322158      2804.1656      5.7319194      4459.7127      10.531666
            3.2      3236.8663      7.0805449      2612.5253      5.5344181      4168.2912      10.182306
            3.3      2985.5249      6.8102835      2408.9976      5.3160038      3847.1666      9.8020189
            3.4      2697.6466      6.5358995      2177.1246      5.0912486      3478.5307       9.420719
            3.5      2424.0062      6.2150026      1955.1557      4.8466335      3131.3273      8.9978311
            3.6      2109.0395      5.8260197      1702.0243      4.5259512      2727.6569      8.4162053
            3.7      1803.1505      5.4409904      1456.1355      4.2328559        2329.33      7.9089018
            3.8      1513.6071      4.9789473      1220.8291      3.8836626      1962.9973      7.2916281
            3.9      1225.5105      4.5104505      989.47014      3.5165075      1589.8784      6.6103615
              4       953.5824      3.9944806      769.24089       3.088557       1239.758      5.8334383
            4.1      712.26909      3.4678989      575.85642      2.7122212      924.29516      5.1449707
            4.2      511.94373      2.9456407      413.61904      2.2819769      667.77544      4.3314351
            4.3      341.15742      2.4269897      275.79398      1.8815292       444.9327      3.5739378
            4.4      211.72883      1.9099298      170.99077      1.4739194      276.74763      2.8313352
            4.5      123.38696      1.4639872      99.875702      1.1314811      161.77345      2.1722862
            4.6       64.99366      1.0800965      52.653462     0.83126405      84.771361      1.6041667
            4.7       29.60711     0.74603467      24.005628     0.56973741      38.444084      1.1268969
            4.8      13.265802     0.51591338      10.623562     0.39252828      17.642779     0.77605797
            4.9      4.6786139     0.29596436      3.7294206     0.22351532      6.1581146     0.45673704
              5      4.6786139     0.29596436      3.7294206     0.22351532      6.1581146     0.45673704
