#m_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
             81      8.9444715     0.11927026      7.0151234    0.089205498      11.987602     0.18528219
             82      9.7397371     0.12508402      7.6500802    0.094656414      13.066446     0.19944483
             83      10.761907     0.13186029      8.4684705    0.098659049      14.373121     0.20553703
             84      12.238637     0.14048605      9.6397742     0.10524182      16.323561     0.21776403
             85      13.891498     0.14976201      10.919222      0.1120153      18.582954     0.23202864
             86      16.393893     0.16253437      12.876363     0.12142229      21.942774     0.25136999
             87      19.491534     0.17782107      15.334992     0.13305513      26.005868      0.2752059
             88      24.090088     0.19841372      18.987628     0.14833089      32.123482     0.30810772
             89      31.943583      0.2281714      25.292159     0.18260779      42.291816      0.3959945
             90      47.236273     0.27809515        37.3035     0.20814035        62.9727     0.43550864
             91      74.946732     0.35154819      59.202046     0.26321623      99.940363     0.55429675
             92      113.86427     0.43363846      90.073452     0.32568773      151.44531     0.68498543
             93      156.62737     0.50773621      124.03155      0.3821475      208.06697     0.79901061
             94      199.76682     0.57059631       158.1579     0.43388262      265.42319     0.90078946
             95      239.61391     0.62306093      189.76882     0.47215273      317.71465     0.97535181
             96      274.10246     0.66409029      217.27828     0.50157377      363.06937      1.0238428
             97       303.9422     0.69714315      241.01931     0.52777477      402.27524      1.0694992
             98      328.06672     0.72196644      260.48951     0.54958329      433.00128       1.107638
             99      349.04192     0.74252673      277.20981     0.56419947      460.76718       1.128715
            100      363.17838     0.75682276      288.81651     0.57759684       478.0186      1.1518077
            101       376.1042     0.76768493      299.02324     0.58420137      495.21728      1.1543599
            102      385.40463     0.77509313      306.47273     0.59116446      506.78385      1.1642475
            103      388.88216     0.77791491      309.56193     0.59538712      510.24869       1.170842
            104      393.64834     0.78174892      313.61771     0.59739488      516.09496      1.1663016
            105      394.58032     0.78183128      314.58125     0.60160244      516.22666      1.1724387
            106      394.65381     0.77926171      314.74525      0.5975285       516.2887      1.1549446
            107      394.55499     0.77910924      314.97364     0.60073546      515.35864      1.1607208
            108      391.46135     0.77423572      312.49898     0.59585467      511.07802      1.1441174
            109      387.79514     0.77151762      309.85929     0.59504437      505.52924      1.1398438
            110       382.6891     0.76469115      305.71219     0.58835609      498.77613      1.1229524
            111      379.32807     0.75926874       302.9755     0.58523093      494.59928      1.1119127
            112      374.54053     0.75297352      299.26417     0.58170322      488.05956      1.1032245
            113      368.74042     0.74778701      294.99635     0.57765782      479.15389      1.0936835
