#   y_bbZ-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5     0.02618283    0.018530629     0.02618283    0.018530629     0.02618283    0.018530629
           -4.9     0.10733036    0.052719104     0.10733036    0.052719104     0.10733036    0.052719104
           -4.8  -0.0059669358      0.1179397  -0.0059669358      0.1179397  -0.0059669358      0.1179397
           -4.7     0.55456757     0.13912433     0.55456757     0.13912433     0.55456757     0.13912433
           -4.6      3.3956922     0.63679339      3.3956922     0.63679339      3.3956922     0.63679339
           -4.5      7.0874972     0.86494627      7.0874972     0.86494627      7.0874972     0.86494627
           -4.4      19.824505      1.6848185      19.824505      1.6848185      19.824505      1.6848185
           -4.3      44.368795       1.777002      44.368795       1.777002      44.368795       1.777002
           -4.2      82.974059      3.4390665      82.974059      3.4390665      82.974059      3.4390665
           -4.1      134.60309      3.8950376      134.60309      3.8950376      134.60309      3.8950376
             -4       207.1625      3.8876756       207.1625      3.8876756       207.1625      3.8876756
           -3.9      303.50419      5.1215399      303.50419      5.1215399      303.50419      5.1215399
           -3.8      419.83663      6.4151133      419.83663      6.4151133      419.83663      6.4151133
           -3.7      558.53541      6.0593033      558.53541      6.0593033      558.53541      6.0593033
           -3.6      721.71464      7.8878912      721.71464      7.8878912      721.71464      7.8878912
           -3.5      877.90142      7.2839353      877.90142      7.2839353      877.90142      7.2839353
           -3.4      1077.6187      9.1539562      1077.6187      9.1539562      1077.6187      9.1539562
           -3.3      1274.8251       8.913202      1274.8251       8.913202      1274.8251       8.913202
           -3.2      1460.6601      9.5975555      1460.6601      9.5975555      1460.6601      9.5975555
           -3.1      1684.8258      10.627131      1684.8258      10.627131      1684.8258      10.627131
             -3      1894.9594      10.738195      1894.9594      10.738195      1894.9594      10.738195
           -2.9      2066.5172       11.30972      2066.5172       11.30972      2066.5172       11.30972
           -2.8      2272.7584      12.046333      2272.7584      12.046333      2272.7584      12.046333
           -2.7      2482.7903      12.476569      2482.7903      12.476569      2482.7903      12.476569
           -2.6      2649.4058      12.135867      2649.4058      12.135867      2649.4058      12.135867
           -2.5       2803.047      12.853706       2803.047      12.853706       2803.047      12.853706
           -2.4      2972.5018      13.018045      2972.5018      13.018045      2972.5018      13.018045
           -2.3      3125.0325      14.115939      3125.0325      14.115939      3125.0325      14.115939
           -2.2      3240.1355      14.001892      3240.1355      14.001892      3240.1355      14.001892
           -2.1      3385.3711       14.94449      3385.3711       14.94449      3385.3711       14.94449
             -2      3503.3522      15.201877      3503.3522      15.201877      3503.3522      15.201877
           -1.9        3568.02      14.846993        3568.02      14.846993        3568.02      14.846993
           -1.8      3667.3222      14.799504      3667.3222      14.799504      3667.3222      14.799504
           -1.7      3733.5013      14.710235      3733.5013      14.710235      3733.5013      14.710235
           -1.6       3808.123      15.174736       3808.123      15.174736       3808.123      15.174736
           -1.5      3892.7713      15.422959      3892.7713      15.422959      3892.7713      15.422959
           -1.4      3914.1833      15.891889      3914.1833      15.891889      3914.1833      15.891889
           -1.3      3977.5688      15.830993      3977.5688      15.830993      3977.5688      15.830993
           -1.2      4013.4752       15.62097      4013.4752       15.62097      4013.4752       15.62097
           -1.1      4064.2793      16.110695      4064.2793      16.110695      4064.2793      16.110695
             -1      4123.0011      17.247063      4123.0011      17.247063      4123.0011      17.247063
           -0.9      4102.4245      16.402284      4102.4245      16.402284      4102.4245      16.402284
           -0.8      4140.5199      16.307676      4140.5199      16.307676      4140.5199      16.307676
           -0.7      4165.8776       17.05626      4165.8776       17.05626      4165.8776       17.05626
           -0.6      4146.3954      16.000842      4146.3954      16.000842      4146.3954      16.000842
           -0.5      4191.5176      16.682333      4191.5176      16.682333      4191.5176      16.682333
           -0.4       4176.627      15.608637       4176.627      15.608637       4176.627      15.608637
           -0.3      4198.1426      16.408757      4198.1426      16.408757      4198.1426      16.408757
