# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2701.4795      13.844125      2701.4795      13.844125      2701.4795      13.844125
            0.1      1415.9844      11.088007      1415.9844      11.088007      1415.9844      11.088007
            0.2      742.88019       7.654253      742.88019       7.654253      742.88019       7.654253
            0.3      453.93681      7.6393469      453.93681      7.6393469      453.93681      7.6393469
            0.4      275.17494      4.4307781      275.17494      4.4307781      275.17494      4.4307781
            0.5      179.26832      3.6030572      179.26832      3.6030572      179.26832      3.6030572
            0.6       103.6081      2.7463032       103.6081      2.7463032       103.6081      2.7463032
            0.7       59.90096      1.8580388       59.90096      1.8580388       59.90096      1.8580388
            0.8      22.283852      1.0966152      22.283852      1.0966152      22.283852      1.0966152
              1      22.283852      1.0966152      22.283852      1.0966152      22.283852      1.0966152
