#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5       19.68656      2.3402349       19.68656      2.3402349       19.68656      2.3402349
           -4.9       29.79929      3.0049515       29.79929      3.0049515       29.79929      3.0049515
           -4.8      32.728084      3.1074221      32.728084      3.1074221      32.728084      3.1074221
           -4.7       40.07095      3.5435562       40.07095      3.5435562       40.07095      3.5435562
           -4.6      44.117024      3.7504262      44.117024      3.7504262      44.117024      3.7504262
           -4.5        58.1998      4.8941223        58.1998      4.8941223        58.1998      4.8941223
           -4.4      68.330624      5.3302116      68.330624      5.3302116      68.330624      5.3302116
           -4.3       68.77774      5.3880777       68.77774      5.3880777       68.77774      5.3880777
           -4.2       90.80295       6.393422       90.80295       6.393422       90.80295       6.393422
           -4.1      95.525637      7.4086719      95.525637      7.4086719      95.525637      7.4086719
             -4      113.48552      6.1590441      113.48552      6.1590441      113.48552      6.1590441
           -3.9       139.3741      7.4221886       139.3741      7.4221886       139.3741      7.4221886
           -3.8      164.39676      7.8693205      164.39676      7.8693205      164.39676      7.8693205
           -3.7      189.80862       9.190542      189.80862       9.190542      189.80862       9.190542
           -3.6      222.76304      11.622193      222.76304      11.622193      222.76304      11.622193
           -3.5      261.47466      11.566914      261.47466      11.566914      261.47466      11.566914
           -3.4      268.95371      10.884072      268.95371      10.884072      268.95371      10.884072
           -3.3      285.17538      10.654151      285.17538      10.654151      285.17538      10.654151
           -3.2      363.49998        13.5857      363.49998        13.5857      363.49998        13.5857
           -3.1      391.94849      14.070717      391.94849      14.070717      391.94849      14.070717
             -3      441.47289      14.675864      441.47289      14.675864      441.47289      14.675864
           -2.9      568.62224      21.183025      568.62224      21.183025      568.62224      21.183025
           -2.8      625.08342      35.677587      625.08342      35.677587      625.08342      35.677587
           -2.7      699.51403      22.466608      699.51403      22.466608      699.51403      22.466608
           -2.6      843.72287      30.492513      843.72287      30.492513      843.72287      30.492513
           -2.5       1002.015      40.763751       1002.015      40.763751       1002.015      40.763751
           -2.4      1088.2537      28.677732      1088.2537      28.677732      1088.2537      28.677732
           -2.3      1321.4979      40.669828      1321.4979      40.669828      1321.4979      40.669828
           -2.2      1512.2873      37.807365      1512.2873      37.807365      1512.2873      37.807365
           -2.1      1711.9196      44.887109      1711.9196      44.887109      1711.9196      44.887109
             -2        2130.21      62.851918        2130.21      62.851918        2130.21      62.851918
           -1.9      2477.1791      46.564715      2477.1791      46.564715      2477.1791      46.564715
           -1.8      2879.9864      49.317358      2879.9864      49.317358      2879.9864      49.317358
           -1.7      3497.8136      67.853381      3497.8136      67.853381      3497.8136      67.853381
