#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20       5.305815     0.21320498       5.305815     0.21320498       5.305815     0.21320498
             50      4.1681055     0.11495966      4.1681055     0.11495966      4.1681055     0.11495966
             75      3.8409617     0.11112249      3.8409617     0.11112249      3.8409617     0.11112249
            100      2.7557325    0.092199292      2.7557325    0.092199292      2.7557325    0.092199292
            125      1.6233892    0.075844968      1.6233892    0.075844968      1.6233892    0.075844968
            150      1.0217418    0.058345257      1.0217418    0.058345257      1.0217418    0.058345257
            200     0.58241414     0.05352903     0.58241414     0.05352903     0.58241414     0.05352903
            250     0.25947683    0.024320066     0.25947683    0.024320066     0.25947683    0.024320066
            300     0.11932427   0.0095858979     0.11932427   0.0095858979     0.11932427   0.0095858979
            400    0.076269963    0.022770242    0.076269963    0.022770242    0.076269963    0.022770242
            500    0.076269963    0.022770242    0.076269963    0.022770242    0.076269963    0.022770242
