# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      5010.7163      32.797005      5010.7163      32.797005      5010.7163      32.797005
     0.31415927      5381.9329      35.265472      5381.9329      35.265472      5381.9329      35.265472
     0.62831853      5746.0144       34.88992      5746.0144       34.88992      5746.0144       34.88992
      0.9424778      6283.8989       39.29191      6283.8989       39.29191      6283.8989       39.29191
      1.2566371      7058.1549      37.856497      7058.1549      37.856497      7058.1549      37.856497
      1.5707963      8435.6586      43.056173      8435.6586      43.056173      8435.6586      43.056173
      1.8849556      10512.727      58.506766      10512.727      58.506766      10512.727      58.506766
      2.1991149      13066.099      63.311626      13066.099      63.311626      13066.099      63.311626
      2.5132741      16316.371      79.598066      16316.371      79.598066      16316.371      79.598066
      2.8274334      19074.696      100.76214      19074.696      100.76214      19074.696      100.76214
      3.1415927      19074.696      100.76214      19074.696      100.76214      19074.696      100.76214
