#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      616.57822       8.358494      616.57822       8.358494      616.57822       8.358494
              1      1805.9288      15.764784      1805.9288      15.764784      1805.9288      15.764784
              2        2631.53      17.044503        2631.53      17.044503        2631.53      17.044503
              3      3137.1991      18.838296      3137.1991      18.838296      3137.1991      18.838296
              4      3348.5426      19.636166      3348.5426      19.636166      3348.5426      19.636166
              5       3331.188      19.448653       3331.188      19.448653       3331.188      19.448653
              6       3199.104      18.215307       3199.104      18.215307       3199.104      18.215307
              7      2982.6144      17.604065      2982.6144      17.604065      2982.6144      17.604065
              8      2821.4083      18.691841      2821.4083      18.691841      2821.4083      18.691841
              9      2571.0847      18.786367      2571.0847      18.786367      2571.0847      18.786367
             10        2341.79      16.155918        2341.79      16.155918        2341.79      16.155918
             11      2112.7233      13.970043      2112.7233      13.970043      2112.7233      13.970043
             12      1940.7669      15.846072      1940.7669      15.846072      1940.7669      15.846072
             13      1756.0466      14.445215      1756.0466      14.445215      1756.0466      14.445215
             14      1647.3706      16.051747      1647.3706      16.051747      1647.3706      16.051747
             15      1465.9973       13.02736      1465.9973       13.02736      1465.9973       13.02736
             16      1318.4374      11.561184      1318.4374      11.561184      1318.4374      11.561184
             17      1239.0504      13.972819      1239.0504      13.972819      1239.0504      13.972819
             18      1134.6174      12.570181      1134.6174      12.570181      1134.6174      12.570181
             19      1021.4472      10.411796      1021.4472      10.411796      1021.4472      10.411796
             20      948.80348      11.546682      948.80348      11.546682      948.80348      11.546682
             21      876.63451      10.849224      876.63451      10.849224      876.63451      10.849224
             22      803.92117      10.788243      803.92117      10.788243      803.92117      10.788243
             23      724.65957      8.8277384      724.65957      8.8277384      724.65957      8.8277384
             24      678.87875      9.5027385      678.87875      9.5027385      678.87875      9.5027385
             25      643.72261       9.218042      643.72261       9.218042      643.72261       9.218042
             26      585.46054      9.8072279      585.46054      9.8072279      585.46054      9.8072279
             27        551.726      8.4646521        551.726      8.4646521        551.726      8.4646521
             28      505.98944      8.9809373      505.98944      8.9809373      505.98944      8.9809373
             29      465.40878      6.5220765      465.40878      6.5220765      465.40878      6.5220765
             30      441.08065      7.2412964      441.08065      7.2412964      441.08065      7.2412964
             31      411.20532      7.5275962      411.20532      7.5275962      411.20532      7.5275962
             32      389.17474      7.0263493      389.17474      7.0263493      389.17474      7.0263493
             33      360.53927      7.0407999      360.53927      7.0407999      360.53927      7.0407999
             34      331.94736      6.0755455      331.94736      6.0755455      331.94736      6.0755455
             35      301.64695      5.1071886      301.64695      5.1071886      301.64695      5.1071886
             36      293.65106      6.3309165      293.65106      6.3309165      293.65106      6.3309165
             37      287.36772      5.7969443      287.36772      5.7969443      287.36772      5.7969443
             38      251.20962      4.8483108      251.20962      4.8483108      251.20962      4.8483108
             39       245.6371      5.4283344       245.6371      5.4283344       245.6371      5.4283344
             40      224.24179      4.6079903      224.24179      4.6079903      224.24179      4.6079903
             41      221.76118      7.4686314      221.76118      7.4686314      221.76118      7.4686314
             42      199.86755      4.2605213      199.86755      4.2605213      199.86755      4.2605213
             43      196.93263      5.9862351      196.93263      5.9862351      196.93263      5.9862351
             44      189.90343       7.370074      189.90343       7.370074      189.90343       7.370074
             45      172.84477      4.8728447      172.84477      4.8728447      172.84477      4.8728447
             46      159.71442      3.5913441      159.71442      3.5913441      159.71442      3.5913441
             47      161.13388      5.5351648      161.13388      5.5351648      161.13388      5.5351648
             48      150.96919      4.8434605      150.96919      4.8434605      150.96919      4.8434605
             49      141.16349      3.7295754      141.16349      3.7295754      141.16349      3.7295754
             50      141.16349      3.7295754      141.16349      3.7295754      141.16349      3.7295754
