#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      105.49397      2.0059635      105.49397      2.0059635      105.49397      2.0059635
              5      320.66368      3.5013623      320.66368      3.5013623      320.66368      3.5013623
             10      561.76518      4.7920087      561.76518      4.7920087      561.76518      4.7920087
             15      822.40905      5.7749253      822.40905      5.7749253      822.40905      5.7749253
             20      1078.2747      5.6610239      1078.2747      5.6610239      1078.2747      5.6610239
             25      1329.0036      6.0125193      1329.0036      6.0125193      1329.0036      6.0125193
             30      1512.1069      5.8348189      1512.1069      5.8348189      1512.1069      5.8348189
             35      1485.7164      5.6569245      1485.7164      5.6569245      1485.7164      5.6569245
             40      1179.6796      4.6806573      1179.6796      4.6806573      1179.6796      4.6806573
             45      800.68119      3.5353127      800.68119      3.5353127      800.68119      3.5353127
             50       544.6485       3.015993       544.6485       3.015993       544.6485       3.015993
             55      386.06069      2.3576531      386.06069      2.3576531      386.06069      2.3576531
             60      287.63233      2.2439253      287.63233      2.2439253      287.63233      2.2439253
             65      215.77709      1.9774373      215.77709      1.9774373      215.77709      1.9774373
             70      166.74354      1.6527234      166.74354      1.6527234      166.74354      1.6527234
             75      131.26048       1.546023      131.26048       1.546023      131.26048       1.546023
             80      104.50531      1.6140704      104.50531      1.6140704      104.50531      1.6140704
             85      82.068458      1.1604879      82.068458      1.1604879      82.068458      1.1604879
             90      69.556362      1.2418273      69.556362      1.2418273      69.556362      1.2418273
             95       55.37523      1.0036737       55.37523      1.0036737       55.37523      1.0036737
            100      46.415653     0.87239416      46.415653     0.87239416      46.415653     0.87239416
            105      36.822561     0.62222427      36.822561     0.62222427      36.822561     0.62222427
            110      31.394389     0.57193666      31.394389     0.57193666      31.394389     0.57193666
            115      27.078204     0.57686088      27.078204     0.57686088      27.078204     0.57686088
            120      24.122853      1.0598731      24.122853      1.0598731      24.122853      1.0598731
            125      21.335037       0.947773      21.335037       0.947773      21.335037       0.947773
            130       17.09228     0.48639899       17.09228     0.48639899       17.09228     0.48639899
            135      14.715672     0.39596509      14.715672     0.39596509      14.715672     0.39596509
            140      12.887076     0.65792745      12.887076     0.65792745      12.887076     0.65792745
            145      11.300175     0.62772836      11.300175     0.62772836      11.300175     0.62772836
            150      9.7252088     0.38199553      9.7252088     0.38199553      9.7252088     0.38199553
            155      8.1727617     0.30157688      8.1727617     0.30157688      8.1727617     0.30157688
            160      8.1575972     0.63729602      8.1575972     0.63729602      8.1575972     0.63729602
