#         pt_j2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2799.3059      9.1787864      2799.3059      9.1787864      2799.3059      9.1787864
              5      2106.2717      6.6466752      2106.2717      6.6466752      2106.2717      6.6466752
             10      1284.0974      5.0269668      1284.0974      5.0269668      1284.0974      5.0269668
             15      836.70154      4.1082169      836.70154      4.1082169      836.70154      4.1082169
             20      567.90363      3.3998441      567.90363      3.3998441      567.90363      3.3998441
             25      412.40897      3.0031217      412.40897      3.0031217      412.40897      3.0031217
             30      295.89806      2.6287147      295.89806      2.6287147      295.89806      2.6287147
             35      221.99581      2.0206441      221.99581      2.0206441      221.99581      2.0206441
             40      171.59592      2.0643928      171.59592      2.0643928      171.59592      2.0643928
             45      138.81081      1.8867141      138.81081      1.8867141      138.81081      1.8867141
             50      108.32486      1.7218292      108.32486      1.7218292      108.32486      1.7218292
             55       85.24337      1.2909987       85.24337      1.2909987       85.24337      1.2909987
             60      70.489455      1.5208351      70.489455      1.5208351      70.489455      1.5208351
             65      56.342679      1.0795941      56.342679      1.0795941      56.342679      1.0795941
             70      48.047655      1.1176795      48.047655      1.1176795      48.047655      1.1176795
             75      40.057322      1.1653781      40.057322      1.1653781      40.057322      1.1653781
             80      34.111037      1.1897068      34.111037      1.1897068      34.111037      1.1897068
             85      29.710216       1.004897      29.710216       1.004897      29.710216       1.004897
             90      24.990497     0.83412998      24.990497     0.83412998      24.990497     0.83412998
             95      21.523155     0.75903334      21.523155     0.75903334      21.523155     0.75903334
            100      18.388053     0.97413277      18.388053     0.97413277      18.388053     0.97413277
            105      16.310391     0.76035092      16.310391     0.76035092      16.310391     0.76035092
            110      14.073197     0.55608393      14.073197     0.55608393      14.073197     0.55608393
            115      12.179637     0.51986769      12.179637     0.51986769      12.179637     0.51986769
            120      10.171801     0.40108892      10.171801     0.40108892      10.171801     0.40108892
            125      9.4446523     0.47415873      9.4446523     0.47415873      9.4446523     0.47415873
            130      7.7997653     0.44182323      7.7997653     0.44182323      7.7997653     0.44182323
            135      8.1003486     0.52178798      8.1003486     0.52178798      8.1003486     0.52178798
            140      7.8574325     0.56635435      7.8574325     0.56635435      7.8574325     0.56635435
            145      5.1179773      0.2084104      5.1179773      0.2084104      5.1179773      0.2084104
            150      5.3091094     0.42227562      5.3091094     0.42227562      5.3091094     0.42227562
            155      4.8622463     0.27095168      4.8622463     0.27095168      4.8622463     0.27095168
            160      4.7496045     0.27376452      4.7496045     0.27376452      4.7496045     0.27376452
            165      3.6883633     0.31684087      3.6883633     0.31684087      3.6883633     0.31684087
            170      3.8861942     0.43203604      3.8861942     0.43203604      3.8861942     0.43203604
            175       3.393762     0.28941887       3.393762     0.28941887       3.393762     0.28941887
            180      2.6732714     0.19595529      2.6732714     0.19595529      2.6732714     0.19595529
            185      3.1567316     0.32410435      3.1567316     0.32410435      3.1567316     0.32410435
            190      2.6818616     0.25120326      2.6818616     0.25120326      2.6818616     0.25120326
            195      2.0090368     0.14749819      2.0090368     0.14749819      2.0090368     0.14749819
            200      2.2370962      0.2366583      2.2370962      0.2366583      2.2370962      0.2366583
            205       2.404944     0.49660004       2.404944     0.49660004       2.404944     0.49660004
            210      1.7315286     0.24273181      1.7315286     0.24273181      1.7315286     0.24273181
            215      1.5774658     0.22311479      1.5774658     0.22311479      1.5774658     0.22311479
            220      1.6872368     0.15930276      1.6872368     0.15930276      1.6872368     0.15930276
            225      1.8098313     0.42565772      1.8098313     0.42565772      1.8098313     0.42565772
            230      1.3287069     0.15729734      1.3287069     0.15729734      1.3287069     0.15729734
            235      1.3905352     0.23433384      1.3905352     0.23433384      1.3905352     0.23433384
            240      1.0228645     0.12562754      1.0228645     0.12562754      1.0228645     0.12562754
            245      1.7600031     0.72840501      1.7600031     0.72840501      1.7600031     0.72840501
            250      1.1759179     0.19887247      1.1759179     0.19887247      1.1759179     0.19887247
            255     0.97886291     0.10966626     0.97886291     0.10966626     0.97886291     0.10966626
            260     0.88393621      0.1199696     0.88393621      0.1199696     0.88393621      0.1199696
            265     0.84725454     0.11160793     0.84725454     0.11160793     0.84725454     0.11160793
            270     0.57873352    0.061152995     0.57873352    0.061152995     0.57873352    0.061152995
            275     0.80449498     0.12274257     0.80449498     0.12274257     0.80449498     0.12274257
            280     0.72959767     0.12353412     0.72959767     0.12353412     0.72959767     0.12353412
            285     0.46021141    0.069852199     0.46021141    0.069852199     0.46021141    0.069852199
            290     0.77247308     0.15997033     0.77247308     0.15997033     0.77247308     0.15997033
            295      1.0317915     0.40155023      1.0317915     0.40155023      1.0317915     0.40155023
            300     0.45876302    0.085952976     0.45876302    0.085952976     0.45876302    0.085952976
            305     0.44123475    0.048031527     0.44123475    0.048031527     0.44123475    0.048031527
            310     0.67426023     0.19358661     0.67426023     0.19358661     0.67426023     0.19358661
            315     0.69961151     0.24995913     0.69961151     0.24995913     0.69961151     0.24995913
            320     0.56039923     0.14899957     0.56039923     0.14899957     0.56039923     0.14899957
            325     0.32741978    0.059196006     0.32741978    0.059196006     0.32741978    0.059196006
            330      0.8716722     0.54048312      0.8716722     0.54048312      0.8716722     0.54048312
            335     0.36272246    0.053282827     0.36272246    0.053282827     0.36272246    0.053282827
            340     0.16183397    0.027338508     0.16183397    0.027338508     0.16183397    0.027338508
            345      0.2653666    0.047414103      0.2653666    0.047414103      0.2653666    0.047414103
            350     0.31199196    0.063984785     0.31199196    0.063984785     0.31199196    0.063984785
            355     0.29468905    0.072921322     0.29468905    0.072921322     0.29468905    0.072921322
            360     0.22828134    0.040704635     0.22828134    0.040704635     0.22828134    0.040704635
            365     0.18675609    0.038033801     0.18675609    0.038033801     0.18675609    0.038033801
            370     0.18104005    0.042315099     0.18104005    0.042315099     0.18104005    0.042315099
            375     0.17428659    0.031907356     0.17428659    0.031907356     0.17428659    0.031907356
            380     0.16087173    0.032713557     0.16087173    0.032713557     0.16087173    0.032713557
            385        0.31234     0.13437158        0.31234     0.13437158        0.31234     0.13437158
            390     0.23029587    0.091618242     0.23029587    0.091618242     0.23029587    0.091618242
            395     0.19947173    0.056297871     0.19947173    0.056297871     0.19947173    0.056297871
            400     0.15778581    0.045689476     0.15778581    0.045689476     0.15778581    0.045689476
            405     0.15785587    0.031254798     0.15785587    0.031254798     0.15785587    0.031254798
            410    0.098120226    0.022150367    0.098120226    0.022150367    0.098120226    0.022150367
            415     0.19791408    0.050497671     0.19791408    0.050497671     0.19791408    0.050497671
            420    0.089794863    0.026289313    0.089794863    0.026289313    0.089794863    0.026289313
            425     0.11633542    0.030368562     0.11633542    0.030368562     0.11633542    0.030368562
            430       0.116899    0.026913565       0.116899    0.026913565       0.116899    0.026913565
            435    0.097430058     0.02155665    0.097430058     0.02155665    0.097430058     0.02155665
            440     0.15850503    0.072712829     0.15850503    0.072712829     0.15850503    0.072712829
            445    0.088149723    0.021607687    0.088149723    0.021607687    0.088149723    0.021607687
            450    0.070174079     0.01766211    0.070174079     0.01766211    0.070174079     0.01766211
            455      0.0684438    0.017189957      0.0684438    0.017189957      0.0684438    0.017189957
            460    0.069088717    0.018080882    0.069088717    0.018080882    0.069088717    0.018080882
            465    0.081852627    0.019532855    0.081852627    0.019532855    0.081852627    0.019532855
            470    0.037006034    0.013303504    0.037006034    0.013303504    0.037006034    0.013303504
            475    0.090623687    0.022496901    0.090623687    0.022496901    0.090623687    0.022496901
            480    0.024358325    0.012736405    0.024358325    0.012736405    0.024358325    0.012736405
            485     0.48330828     0.40187162     0.48330828     0.40187162     0.48330828     0.40187162
            490    0.058825586    0.025400169    0.058825586    0.025400169    0.058825586    0.025400169
            495    0.085096314    0.028568185    0.085096314    0.028568185    0.085096314    0.028568185
            500    0.085096314    0.028568185    0.085096314    0.028568185    0.085096314    0.028568185
