#  pt_bbZ-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      11.446851     0.42867249      11.446851     0.42867249      11.446851     0.42867249
              5      37.236939     0.65829043      37.236939     0.65829043      37.236939     0.65829043
             10      70.015479      1.0350657      70.015479      1.0350657      70.015479      1.0350657
             15      110.53793      1.4077908      110.53793      1.4077908      110.53793      1.4077908
             20      167.59167      1.8127509      167.59167      1.8127509      167.59167      1.8127509
             25      231.63063      1.8885777      231.63063      1.8885777      231.63063      1.8885777
             30      315.62688      2.1312333      315.62688      2.1312333      315.62688      2.1312333
             35      347.79743      2.2189611      347.79743      2.2189611      347.79743      2.2189611
             40      348.78915      2.5028497      348.78915      2.5028497      348.78915      2.5028497
             45      329.66024       2.470639      329.66024       2.470639      329.66024       2.470639
             50       298.0471      2.4245324       298.0471      2.4245324       298.0471      2.4245324
             55      265.73683      2.0939452      265.73683      2.0939452      265.73683      2.0939452
             60      231.39003      1.9533158      231.39003      1.9533158      231.39003      1.9533158
             65      204.50879      2.2352694      204.50879      2.2352694      204.50879      2.2352694
             70      178.78876      1.7554963      178.78876      1.7554963      178.78876      1.7554963
             75      162.81739      2.1115561      162.81739      2.1115561      162.81739      2.1115561
             80      139.07707      1.6293972      139.07707      1.6293972      139.07707      1.6293972
             85      121.64301      1.6652927      121.64301      1.6652927      121.64301      1.6652927
             90      109.12265      1.5814682      109.12265      1.5814682      109.12265      1.5814682
             95      94.832627      1.6213796      94.832627      1.6213796      94.832627      1.6213796
            100      82.748334      1.2017765      82.748334      1.2017765      82.748334      1.2017765
            105      76.097125      1.4278558      76.097125      1.4278558      76.097125      1.4278558
            110      66.377671      1.3326944      66.377671      1.3326944      66.377671      1.3326944
            115      60.227298      1.6730811      60.227298      1.6730811      60.227298      1.6730811
            120      50.414291     0.97992693      50.414291     0.97992693      50.414291     0.97992693
            125      47.594632      1.3785557      47.594632      1.3785557      47.594632      1.3785557
            130      44.188577      1.4805473      44.188577      1.4805473      44.188577      1.4805473
            135      35.474433     0.94623028      35.474433     0.94623028      35.474433     0.94623028
            140        32.6271     0.89089397        32.6271     0.89089397        32.6271     0.89089397
            145      30.583424      1.1402109      30.583424      1.1402109      30.583424      1.1402109
            150      26.824777     0.80130395      26.824777     0.80130395      26.824777     0.80130395
            155      24.330109      1.0382906      24.330109      1.0382906      24.330109      1.0382906
            160      22.339987     0.89024265      22.339987     0.89024265      22.339987     0.89024265
            165      20.033621     0.83718507      20.033621     0.83718507      20.033621     0.83718507
            170      18.277539      0.8783612      18.277539      0.8783612      18.277539      0.8783612
            175      16.709233      1.1018796      16.709233      1.1018796      16.709233      1.1018796
            180      14.895398     0.87830469      14.895398     0.87830469      14.895398     0.87830469
            185      13.739718      1.1630435      13.739718      1.1630435      13.739718      1.1630435
            190      11.298887     0.43248669      11.298887     0.43248669      11.298887     0.43248669
            195      9.6719247     0.37499238      9.6719247     0.37499238      9.6719247     0.37499238
            200      9.5756779     0.42837027      9.5756779     0.42837027      9.5756779     0.42837027
            205      10.083984      1.0506187      10.083984      1.0506187      10.083984      1.0506187
            210      8.2827462     0.72530723      8.2827462     0.72530723      8.2827462     0.72530723
            215      7.7609699     0.96152803      7.7609699     0.96152803      7.7609699     0.96152803
            220      6.6301711     0.35240261      6.6301711     0.35240261      6.6301711     0.35240261
            225      6.1985099     0.35432366      6.1985099     0.35432366      6.1985099     0.35432366
            230      5.4425115     0.34425368      5.4425115     0.34425368      5.4425115     0.34425368
            235      5.9220468     0.51474758      5.9220468     0.51474758      5.9220468     0.51474758
            240      5.6846025     0.58996175      5.6846025     0.58996175      5.6846025     0.58996175
            245      5.2477281     0.60586271      5.2477281     0.60586271      5.2477281     0.60586271
            250      5.7667976     0.79199927      5.7667976     0.79199927      5.7667976     0.79199927
            255       3.697438     0.37795191       3.697438     0.37795191       3.697438     0.37795191
            260      3.8544963     0.32652381      3.8544963     0.32652381      3.8544963     0.32652381
            265       4.470494     0.62105197       4.470494     0.62105197       4.470494     0.62105197
            270       3.508494     0.50089817       3.508494     0.50089817       3.508494     0.50089817
            275       2.489606     0.20013534       2.489606     0.20013534       2.489606     0.20013534
            280      3.4110424     0.38653515      3.4110424     0.38653515      3.4110424     0.38653515
            285      2.3014896     0.18328315      2.3014896     0.18328315      2.3014896     0.18328315
            290      1.9955473      0.1757999      1.9955473      0.1757999      1.9955473      0.1757999
            295      2.5404014     0.29991448      2.5404014     0.29991448      2.5404014     0.29991448
            300      2.1540753     0.23752093      2.1540753     0.23752093      2.1540753     0.23752093
            305      1.7747359     0.16049497      1.7747359     0.16049497      1.7747359     0.16049497
            310      1.6565441     0.25678011      1.6565441     0.25678011      1.6565441     0.25678011
            315      1.7344831      0.2377909      1.7344831      0.2377909      1.7344831      0.2377909
            320      1.7442432     0.40235789      1.7442432     0.40235789      1.7442432     0.40235789
            325      1.4636903     0.34357193      1.4636903     0.34357193      1.4636903     0.34357193
            330      1.4556029     0.23140507      1.4556029     0.23140507      1.4556029     0.23140507
            335      1.1632648     0.12674624      1.1632648     0.12674624      1.1632648     0.12674624
            340      1.3183865     0.18995138      1.3183865     0.18995138      1.3183865     0.18995138
            345     0.79911274    0.076814177     0.79911274    0.076814177     0.79911274    0.076814177
            350      0.9179009     0.11115189      0.9179009     0.11115189      0.9179009     0.11115189
            355      1.1610722     0.33029276      1.1610722     0.33029276      1.1610722     0.33029276
            360     0.98547242     0.16396144     0.98547242     0.16396144     0.98547242     0.16396144
            365     0.90830336     0.12723554     0.90830336     0.12723554     0.90830336     0.12723554
            370      1.0288673     0.25587332      1.0288673     0.25587332      1.0288673     0.25587332
            375     0.87707107       0.172047     0.87707107       0.172047     0.87707107       0.172047
            380     0.49412078    0.080867848     0.49412078    0.080867848     0.49412078    0.080867848
            385      1.0009201     0.48369878      1.0009201     0.48369878      1.0009201     0.48369878
            390      1.4849075     0.61225261      1.4849075     0.61225261      1.4849075     0.61225261
            395     0.63336861     0.13021027     0.63336861     0.13021027     0.63336861     0.13021027
            400     0.47760034    0.074265536     0.47760034    0.074265536     0.47760034    0.074265536
            405      0.4280571    0.047524829      0.4280571    0.047524829      0.4280571    0.047524829
            410     0.34931442    0.053056289     0.34931442    0.053056289     0.34931442    0.053056289
            415     0.61178638     0.13809355     0.61178638     0.13809355     0.61178638     0.13809355
            420     0.83264781     0.42895757     0.83264781     0.42895757     0.83264781     0.42895757
            425     0.63643329     0.43892522     0.63643329     0.43892522     0.63643329     0.43892522
            430     0.25279967    0.036375344     0.25279967    0.036375344     0.25279967    0.036375344
            435     0.87389542      0.4421845     0.87389542      0.4421845     0.87389542      0.4421845
            440     0.44283564     0.13969674     0.44283564     0.13969674     0.44283564     0.13969674
            445      0.2568847    0.036111341      0.2568847    0.036111341      0.2568847    0.036111341
            450     0.22830972    0.043612918     0.22830972    0.043612918     0.22830972    0.043612918
            455     0.27521788    0.043674065     0.27521788    0.043674065     0.27521788    0.043674065
            460     0.15855419    0.027840914     0.15855419    0.027840914     0.15855419    0.027840914
            465     0.25874548    0.038412703     0.25874548    0.038412703     0.25874548    0.038412703
            470     0.28674514    0.053363647     0.28674514    0.053363647     0.28674514    0.053363647
            475     0.22880592    0.053580442     0.22880592    0.053580442     0.22880592    0.053580442
            480     0.23626447     0.03725968     0.23626447     0.03725968     0.23626447     0.03725968
            485     0.18292034    0.042382715     0.18292034    0.042382715     0.18292034    0.042382715
            490     0.24144478    0.053185234     0.24144478    0.053185234     0.24144478    0.053185234
            495     0.18113084    0.054254263     0.18113084    0.054254263     0.18113084    0.054254263
            500     0.12582536    0.029210866     0.12582536    0.029210866     0.12582536    0.029210866
            505        0.20094     0.10631937        0.20094     0.10631937        0.20094     0.10631937
            510     0.20119352    0.079667628     0.20119352    0.079667628     0.20119352    0.079667628
            515    0.086721006    0.031648217    0.086721006    0.031648217    0.086721006    0.031648217
            520     0.12430011    0.026699107     0.12430011    0.026699107     0.12430011    0.026699107
            525    0.093732069    0.020738577    0.093732069    0.020738577    0.093732069    0.020738577
            530     0.17780771    0.075033152     0.17780771    0.075033152     0.17780771    0.075033152
            535     0.62266592     0.50959887     0.62266592     0.50959887     0.62266592     0.50959887
            540     0.12339285    0.035041786     0.12339285    0.035041786     0.12339285    0.035041786
            545    0.074120784    0.020249554    0.074120784    0.020249554    0.074120784    0.020249554
            550    0.088087487    0.024423765    0.088087487    0.024423765    0.088087487    0.024423765
            555    0.048624245    0.021252334    0.048624245    0.021252334    0.048624245    0.021252334
            560     0.22628447     0.14072114     0.22628447     0.14072114     0.22628447     0.14072114
            565    0.027189945     0.01628853    0.027189945     0.01628853    0.027189945     0.01628853
            570    0.068128381    0.017074174    0.068128381    0.017074174    0.068128381    0.017074174
            575    0.061989498    0.016637095    0.061989498    0.016637095    0.061989498    0.016637095
            580    0.081872514    0.022206848    0.081872514    0.022206848    0.081872514    0.022206848
            585    0.075411956    0.021937573    0.075411956    0.021937573    0.075411956    0.021937573
            590   0.0036347484   0.0071916633   0.0036347484   0.0071916633   0.0036347484   0.0071916633
            595    0.045986123    0.016795285    0.045986123    0.016795285    0.045986123    0.016795285
            600    0.049502347     0.01518209    0.049502347     0.01518209    0.049502347     0.01518209
