#          y_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1261.2696      8.5106152      1261.2696      8.5106152      1261.2696      8.5106152
           -4.9       1472.929      8.9018936       1472.929      8.9018936       1472.929      8.9018936
           -4.8      1684.7434      10.039426      1684.7434      10.039426      1684.7434      10.039426
           -4.7      1933.9961      10.489413      1933.9961      10.489413      1933.9961      10.489413
           -4.6      2194.7361      12.321547      2194.7361      12.321547      2194.7361      12.321547
           -4.5      2450.7968      12.506599      2450.7968      12.506599      2450.7968      12.506599
           -4.4       2755.048      13.854137       2755.048      13.854137       2755.048      13.854137
           -4.3      3021.7409      13.945535      3021.7409      13.945535      3021.7409      13.945535
           -4.2      3331.4124      15.034429      3331.4124      15.034429      3331.4124      15.034429
           -4.1      3635.7096      16.649443      3635.7096      16.649443      3635.7096      16.649443
             -4      3907.2063      16.221765      3907.2063      16.221765      3907.2063      16.221765
           -3.9      4192.5234      16.578459      4192.5234      16.578459      4192.5234      16.578459
           -3.8      4441.5761      17.232291      4441.5761      17.232291      4441.5761      17.232291
           -3.7      4719.0449      18.514064      4719.0449      18.514064      4719.0449      18.514064
           -3.6      4932.8171      17.259036      4932.8171      17.259036      4932.8171      17.259036
           -3.5      5169.5147       19.35302      5169.5147       19.35302      5169.5147       19.35302
           -3.4      5368.9175       18.49238      5368.9175       18.49238      5368.9175       18.49238
           -3.3      5565.3906       19.70287      5565.3906       19.70287      5565.3906       19.70287
           -3.2      5705.7054       18.92656      5705.7054       18.92656      5705.7054       18.92656
           -3.1      5905.7228      20.343299      5905.7228      20.343299      5905.7228      20.343299
             -3      6005.6826      19.661828      6005.6826      19.661828      6005.6826      19.661828
           -2.9      6153.1198      20.284849      6153.1198      20.284849      6153.1198      20.284849
           -2.8      6249.1594      19.670876      6249.1594      19.670876      6249.1594      19.670876
           -2.7      6382.2055      21.299318      6382.2055      21.299318      6382.2055      21.299318
           -2.6      6439.5536      21.345279      6439.5536      21.345279      6439.5536      21.345279
           -2.5      6532.7246      20.414325      6532.7246      20.414325      6532.7246      20.414325
           -2.4      6603.4291      20.955839      6603.4291      20.955839      6603.4291      20.955839
           -2.3      6646.5845      20.408282      6646.5845      20.408282      6646.5845      20.408282
           -2.2      6808.3189      22.341687      6808.3189      22.341687      6808.3189      22.341687
           -2.1      6835.8451      22.655729      6835.8451      22.655729      6835.8451      22.655729
             -2      6885.1383       22.58848      6885.1383       22.58848      6885.1383       22.58848
           -1.9      6877.5053      20.774551      6877.5053      20.774551      6877.5053      20.774551
           -1.8      6966.3291      21.506283      6966.3291      21.506283      6966.3291      21.506283
           -1.7      6993.2591      22.063265      6993.2591      22.063265      6993.2591      22.063265
           -1.6      7046.2048      22.333186      7046.2048      22.333186      7046.2048      22.333186
           -1.5      7092.3087      22.444779      7092.3087      22.444779      7092.3087      22.444779
           -1.4      7165.0864      23.248618      7165.0864      23.248618      7165.0864      23.248618
           -1.3      7173.7209      23.535219      7173.7209      23.535219      7173.7209      23.535219
           -1.2      7209.9354      22.781904      7209.9354      22.781904      7209.9354      22.781904
           -1.1      7248.7571      24.298303      7248.7571      24.298303      7248.7571      24.298303
             -1      7272.3775      23.663432      7272.3775      23.663432      7272.3775      23.663432
           -0.9      7335.2774      24.734763      7335.2774      24.734763      7335.2774      24.734763
           -0.8      7334.9481       23.88248      7334.9481       23.88248      7334.9481       23.88248
           -0.7      7363.7258       24.40586      7363.7258       24.40586      7363.7258       24.40586
           -0.6      7316.8786      23.177442      7316.8786      23.177442      7316.8786      23.177442
           -0.5      7410.8848      25.692061      7410.8848      25.692061      7410.8848      25.692061
           -0.4      7400.8947      24.395585      7400.8947      24.395585      7400.8947      24.395585
           -0.3      7419.6675      24.402411      7419.6675      24.402411      7419.6675      24.402411
           -0.2      7441.2197      24.046536      7441.2197      24.046536      7441.2197      24.046536
           -0.1      7397.1904      24.740383      7397.1904      24.740383      7397.1904      24.740383
              0      7400.0195       23.52446      7400.0195       23.52446      7400.0195       23.52446
            0.1      7491.0562      25.665045      7491.0562      25.665045      7491.0562      25.665045
            0.2      7450.9067      25.078909      7450.9067      25.078909      7450.9067      25.078909
            0.3      7400.2662      24.438886      7400.2662      24.438886      7400.2662      24.438886
            0.4      7378.1485      24.089736      7378.1485      24.089736      7378.1485      24.089736
            0.5      7403.5242      24.471182      7403.5242      24.471182      7403.5242      24.471182
            0.6      7339.3444      23.765798      7339.3444      23.765798      7339.3444      23.765798
            0.7      7305.7426      23.493687      7305.7426      23.493687      7305.7426      23.493687
            0.8      7313.5775      23.040098      7313.5775      23.040098      7313.5775      23.040098
            0.9      7246.6403      23.398735      7246.6403      23.398735      7246.6403      23.398735
              1       7266.288      23.993747       7266.288      23.993747       7266.288      23.993747
            1.1      7168.0763      22.817835      7168.0763      22.817835      7168.0763      22.817835
            1.2      7140.1521      22.944014      7140.1521      22.944014      7140.1521      22.944014
            1.3      7184.5914       23.67538      7184.5914       23.67538      7184.5914       23.67538
            1.4       7125.983      23.308255       7125.983      23.308255       7125.983      23.308255
            1.5      7034.8719      22.055984      7034.8719      22.055984      7034.8719      22.055984
            1.6      7001.4358      23.063758      7001.4358      23.063758      7001.4358      23.063758
            1.7      6996.2805      23.030722      6996.2805      23.030722      6996.2805      23.030722
            1.8      6887.5484      21.808027      6887.5484      21.808027      6887.5484      21.808027
            1.9      6882.6814      22.602527      6882.6814      22.602527      6882.6814      22.602527
              2      6797.2765      22.034344      6797.2765      22.034344      6797.2765      22.034344
            2.1      6705.6854      21.101147      6705.6854      21.101147      6705.6854      21.101147
            2.2      6658.3286      20.870626      6658.3286      20.870626      6658.3286      20.870626
            2.3      6608.8989      22.152919      6608.8989      22.152919      6608.8989      22.152919
            2.4      6547.6085      21.299152      6547.6085      21.299152      6547.6085      21.299152
            2.5       6454.247      20.559096       6454.247      20.559096       6454.247      20.559096
