#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       21.29793     0.27106792       21.29793     0.27106792       21.29793     0.27106792
             20      48.093705     0.63625124      48.093705     0.63625124      48.093705     0.63625124
             30      55.746246     0.68141264      55.746246     0.68141264      55.746246     0.68141264
             40      47.724938     0.66530314      47.724938     0.66530314      47.724938     0.66530314
             50      36.837706     0.51049665      36.837706     0.51049665      36.837706     0.51049665
             65      28.066471     0.42128299      28.066471     0.42128299      28.066471     0.42128299
             80      20.750784     0.32520663      20.750784     0.32520663      20.750784     0.32520663
             95      16.415162     0.44636656      16.415162     0.44636656      16.415162     0.44636656
            110       11.37261     0.33058585       11.37261     0.33058585       11.37261     0.33058585
            130      6.8636646     0.13866748      6.8636646     0.13866748      6.8636646     0.13866748
            165      3.9776096      0.1781841      3.9776096      0.1781841      3.9776096      0.1781841
            200      2.1917147    0.092834791      2.1917147    0.092834791      2.1917147    0.092834791
            240      1.1504551    0.067919385      1.1504551    0.067919385      1.1504551    0.067919385
            300     0.19717917   0.0098248552     0.19717917   0.0098248552     0.19717917   0.0098248552
            600     0.19717917   0.0098248552     0.19717917   0.0098248552     0.19717917   0.0098248552
