#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      29.878732     0.48497261      29.878732     0.48497261      29.878732     0.48497261
             60      88.266017     0.86272863      88.266017     0.86272863      88.266017     0.86272863
             70      2076.0897      4.8339425      2076.0897      4.8339425      2076.0897      4.8339425
             80      3384.7143      6.0060611      3384.7143      6.0060611      3384.7143      6.0060611
             90      99.950736      1.2847811      99.950736      1.2847811      99.950736      1.2847811
            100      31.435166     0.66253908      31.435166     0.66253908      31.435166     0.66253908
            110       15.72584     0.44456592       15.72584     0.44456592       15.72584     0.44456592
            120      9.1799712     0.31564948      9.1799712     0.31564948      9.1799712     0.31564948
            130       5.353722     0.25954673       5.353722     0.25954673       5.353722     0.25954673
            140      3.4542161     0.17929747      3.4542161     0.17929747      3.4542161     0.17929747
            150      3.4542161     0.17929747      3.4542161     0.17929747      3.4542161     0.17929747
