# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      1268.9006      15.122877      1268.9006      15.122877      1268.9006      15.122877
            0.4       1102.462      11.652837       1102.462      11.652837       1102.462      11.652837
              1      790.74728      12.533806      790.74728      12.533806      790.74728      12.533806
            1.6      437.10136      9.3938973      437.10136      9.3938973      437.10136      9.3938973
            2.3      161.44539       6.576263      161.44539       6.576263      161.44539       6.576263
            3.4      20.117903      1.4675136      20.117903      1.4675136      20.117903      1.4675136
            4.6      20.117903      1.4675136      20.117903      1.4675136      20.117903      1.4675136
