#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       291.7723      6.3353823       291.7723      6.3353823       291.7723      6.3353823
              1      1170.3645      13.785448      1170.3645      13.785448      1170.3645      13.785448
              2      1726.5416      17.248303      1726.5416      17.248303      1726.5416      17.248303
              3      1914.6438      18.111421      1914.6438      18.111421      1914.6438      18.111421
              4       1966.681      18.544294       1966.681      18.544294       1966.681      18.544294
              5       1917.948      19.860165       1917.948      19.860165       1917.948      19.860165
              6      1781.1795      14.518509      1781.1795      14.518509      1781.1795      14.518509
              7      1725.6988      18.058652      1725.6988      18.058652      1725.6988      18.058652
              8      1592.8151      13.964659      1592.8151      13.964659      1592.8151      13.964659
              9      1539.4944      14.466557      1539.4944      14.466557      1539.4944      14.466557
             10      1462.7481      14.180398      1462.7481      14.180398      1462.7481      14.180398
             11      1373.4129      13.041697      1373.4129      13.041697      1373.4129      13.041697
             12      1303.4618      12.395412      1303.4618      12.395412      1303.4618      12.395412
             13       1247.441      12.233394       1247.441      12.233394       1247.441      12.233394
             14      1188.8639      13.668007      1188.8639      13.668007      1188.8639      13.668007
             15      1152.5354      12.456568      1152.5354      12.456568      1152.5354      12.456568
             16      1084.3272      10.527679      1084.3272      10.527679      1084.3272      10.527679
             17       996.4862      8.8123126       996.4862      8.8123126       996.4862      8.8123126
             18      975.14779      10.177241      975.14779      10.177241      975.14779      10.177241
             19      932.68573      9.2159678      932.68573      9.2159678      932.68573      9.2159678
             20      910.54172       9.506915      910.54172       9.506915      910.54172       9.506915
             21      874.23972      9.3159416      874.23972      9.3159416      874.23972      9.3159416
             22      849.35283      10.691125      849.35283      10.691125      849.35283      10.691125
             23      806.42312      8.3275994      806.42312      8.3275994      806.42312      8.3275994
             24      764.58358      7.2158469      764.58358      7.2158469      764.58358      7.2158469
             25      732.31319      7.6257416      732.31319      7.6257416      732.31319      7.6257416
             26      729.01555      9.5677715      729.01555      9.5677715      729.01555      9.5677715
             27      694.15198      8.5064974      694.15198      8.5064974      694.15198      8.5064974
             28       674.4991      8.0889289       674.4991      8.0889289       674.4991      8.0889289
             29      636.83666      7.1164289      636.83666      7.1164289      636.83666      7.1164289
             30      618.24443      6.8219698      618.24443      6.8219698      618.24443      6.8219698
             31      595.81084      6.9808375      595.81084      6.9808375      595.81084      6.9808375
             32      577.70324      6.4305337      577.70324      6.4305337      577.70324      6.4305337
             33      564.21407      6.8075753      564.21407      6.8075753      564.21407      6.8075753
             34      561.83996      7.1278522      561.83996      7.1278522      561.83996      7.1278522
             35      519.73982      6.9177941      519.73982      6.9177941      519.73982      6.9177941
             36       503.7076      6.5444221       503.7076      6.5444221       503.7076      6.5444221
             37      495.22985      6.1479362      495.22985      6.1479362      495.22985      6.1479362
             38      476.03228      5.6069677      476.03228      5.6069677      476.03228      5.6069677
             39      450.66084      5.4124872      450.66084      5.4124872      450.66084      5.4124872
             40      463.51983      7.9338132      463.51983      7.9338132      463.51983      7.9338132
             41      424.28155      5.3142304      424.28155      5.3142304      424.28155      5.3142304
             42      424.95167      6.0599072      424.95167      6.0599072      424.95167      6.0599072
             43      402.98976      5.2865072      402.98976      5.2865072      402.98976      5.2865072
             44      394.71138      5.2011982      394.71138      5.2011982      394.71138      5.2011982
             45      382.66059      4.9745243      382.66059      4.9745243      382.66059      4.9745243
             46      388.23583      6.8983686      388.23583      6.8983686      388.23583      6.8983686
             47      371.70722      7.0314037      371.70722      7.0314037      371.70722      7.0314037
             48      349.92704      4.6439683      349.92704      4.6439683      349.92704      4.6439683
             49        344.774      4.6612515        344.774      4.6612515        344.774      4.6612515
             50        344.774      4.6612515        344.774      4.6612515        344.774      4.6612515
