#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21.951113      1.2587377      21.951113      1.2587377      21.951113      1.2587377
              1      76.592464       5.565523      76.592464       5.565523      76.592464       5.565523
              2      122.88127      5.5430289      122.88127      5.5430289      122.88127      5.5430289
              3      156.10983      3.2828413      156.10983      3.2828413      156.10983      3.2828413
              4      194.96373      3.2615954      194.96373      3.2615954      194.96373      3.2615954
              5      248.82272        6.14457      248.82272        6.14457      248.82272        6.14457
              6      309.15371      9.1481864      309.15371      9.1481864      309.15371      9.1481864
              7      347.45941      6.7927507      347.45941      6.7927507      347.45941      6.7927507
              8      395.77607      8.0873396      395.77607      8.0873396      395.77607      8.0873396
              9      456.48703      9.5666144      456.48703      9.5666144      456.48703      9.5666144
             10       517.0934       10.57377       517.0934       10.57377       517.0934       10.57377
             11      542.44958      9.5885364      542.44958      9.5885364      542.44958      9.5885364
             12      601.89446      8.6113354      601.89446      8.6113354      601.89446      8.6113354
             13      656.09185       9.625582      656.09185       9.625582      656.09185       9.625582
             14      718.67519      11.023574      718.67519      11.023574      718.67519      11.023574
             15      786.02815      12.339359      786.02815      12.339359      786.02815      12.339359
             16      819.20457      10.036412      819.20457      10.036412      819.20457      10.036412
             17      899.69005      11.687461      899.69005      11.687461      899.69005      11.687461
             18      935.01751      11.297305      935.01751      11.297305      935.01751      11.297305
             19       989.8136      12.349301       989.8136      12.349301       989.8136      12.349301
             20      1074.3999      14.867637      1074.3999      14.867637      1074.3999      14.867637
             21       1135.983      13.971587       1135.983      13.971587       1135.983      13.971587
             22      1172.7312      14.017376      1172.7312      14.017376      1172.7312      14.017376
             23      1235.0398      14.416144      1235.0398      14.416144      1235.0398      14.416144
             24      1295.5512      15.183347      1295.5512      15.183347      1295.5512      15.183347
             25      1326.8021       14.22596      1326.8021       14.22596      1326.8021       14.22596
             26      1371.4274      13.101573      1371.4274      13.101573      1371.4274      13.101573
             27      1394.4339      12.966628      1394.4339      12.966628      1394.4339      12.966628
             28      1451.5271      13.094713      1451.5271      13.094713      1451.5271      13.094713
             29      1500.0537      14.297054      1500.0537      14.297054      1500.0537      14.297054
             30      1531.0221      13.535889      1531.0221      13.535889      1531.0221      13.535889
             31      1571.1758      14.484484      1571.1758      14.484484      1571.1758      14.484484
             32      1579.8262       15.01116      1579.8262       15.01116      1579.8262       15.01116
             33      1570.1276       12.40049      1570.1276       12.40049      1570.1276       12.40049
             34      1597.8763      13.262465      1597.8763      13.262465      1597.8763      13.262465
             35      1577.9477      12.171167      1577.9477      12.171167      1577.9477      12.171167
             36      1547.3692      12.259288      1547.3692      12.259288      1547.3692      12.259288
             37      1529.8166         13.298      1529.8166         13.298      1529.8166         13.298
             38      1464.2396      11.800889      1464.2396      11.800889      1464.2396      11.800889
             39      1400.0485      12.500749      1400.0485      12.500749      1400.0485      12.500749
             40      1334.3791         12.679      1334.3791         12.679      1334.3791         12.679
             41      1236.7002      10.723344      1236.7002      10.723344      1236.7002      10.723344
             42      1139.1086      10.341014      1139.1086      10.341014      1139.1086      10.341014
             43      1043.7135      9.9294473      1043.7135      9.9294473      1043.7135      9.9294473
             44      973.67013      9.6029252      973.67013      9.6029252      973.67013      9.6029252
             45      889.87212      8.5239359      889.87212      8.5239359      889.87212      8.5239359
             46      832.76985      8.5637273      832.76985      8.5637273      832.76985      8.5637273
             47      773.36814        8.57263      773.36814        8.57263      773.36814        8.57263
             48      688.22522      7.0536302      688.22522      7.0536302      688.22522      7.0536302
             49      638.47456      7.3822291      638.47456      7.3822291      638.47456      7.3822291
             50      583.79206      6.8727547      583.79206      6.8727547      583.79206      6.8727547
             51      551.40644      7.3134697      551.40644      7.3134697      551.40644      7.3134697
             52      510.86447      6.6150764      510.86447      6.6150764      510.86447      6.6150764
