#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      33533.863      113.77618      33533.863      113.77618      33533.863      113.77618
     0.31415927      26379.637      100.92638      26379.637      100.92638      26379.637      100.92638
     0.62831853      21150.809      87.956408      21150.809      87.956408      21150.809      87.956408
      0.9424778      17894.449      78.458853      17894.449      78.458853      17894.449      78.458853
      1.2566371      16016.964      77.969842      16016.964      77.969842      16016.964      77.969842
      1.5707963      14676.278      76.964278      14676.278      76.964278      14676.278      76.964278
      1.8849556      13971.973      76.568374      13971.973      76.568374      13971.973      76.568374
      2.1991149      13626.279      76.139137      13626.279      76.139137      13626.279      76.139137
      2.5132741      13490.741       70.58352      13490.741       70.58352      13490.741       70.58352
      2.8274334       13473.89      74.471376       13473.89      74.471376       13473.89      74.471376
      3.1415927       13473.89      74.471376       13473.89      74.471376       13473.89      74.471376
