#         pt_j1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1401.1574      6.8680762      1401.1574      6.8680762      1401.1574      6.8680762
              5      1670.1116      7.1169744      1670.1116      7.1169744      1670.1116      7.1169744
             10      1268.6484      5.6159518      1268.6484      5.6159518      1268.6484      5.6159518
             15        986.325       4.749543        986.325       4.749543        986.325       4.749543
             20      800.93265       3.859988      800.93265       3.859988      800.93265       3.859988
             25      663.96834      3.4882116      663.96834      3.4882116      663.96834      3.4882116
             30       563.3042      3.0123338       563.3042      3.0123338       563.3042      3.0123338
             35      483.04964      3.0816235      483.04964      3.0816235      483.04964      3.0816235
             40      406.31235      2.5881301      406.31235      2.5881301      406.31235      2.5881301
             45      353.03363      2.4468426      353.03363      2.4468426      353.03363      2.4468426
             50      307.14255      2.3037903      307.14255      2.3037903      307.14255      2.3037903
             55      266.80845      1.9967585      266.80845      1.9967585      266.80845      1.9967585
             60      236.94457      2.2452022      236.94457      2.2452022      236.94457      2.2452022
             65      206.29159      2.1703638      206.29159      2.1703638      206.29159      2.1703638
             70      181.53403      1.7996206      181.53403      1.7996206      181.53403      1.7996206
             75      161.12978      1.8650138      161.12978      1.8650138      161.12978      1.8650138
             80      140.49988      1.6675608      140.49988      1.6675608      140.49988      1.6675608
             85      128.12498      1.6887351      128.12498      1.6887351      128.12498      1.6887351
             90       113.5705       1.727604       113.5705       1.727604       113.5705       1.727604
             95      99.376966      1.3582352      99.376966      1.3582352      99.376966      1.3582352
            100      88.618541      1.4864041      88.618541      1.4864041      88.618541      1.4864041
            105      78.944667      1.3396079      78.944667      1.3396079      78.944667      1.3396079
            110      74.417886      1.9483533      74.417886      1.9483533      74.417886      1.9483533
            115      63.078091      1.1549108      63.078091      1.1549108      63.078091      1.1549108
            120       57.24139      1.4255674       57.24139      1.4255674       57.24139      1.4255674
            125      50.255165      1.0505271      50.255165      1.0505271      50.255165      1.0505271
            130       45.94656      1.1460539       45.94656      1.1460539       45.94656      1.1460539
            135      39.434448     0.96622991      39.434448     0.96622991      39.434448     0.96622991
