#pt_bb-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       862.5596      4.8120922       862.5596      4.8120922       862.5596      4.8120922
              5      1800.1608      6.3049341      1800.1608      6.3049341      1800.1608      6.3049341
             10      1788.5348      6.4829152      1788.5348      6.4829152      1788.5348      6.4829152
             15       1466.762      5.7711521       1466.762      5.7711521       1466.762      5.7711521
             20      1142.5646      5.0144924      1142.5646      5.0144924      1142.5646      5.0144924
             25      875.74449      4.6318177      875.74449      4.6318177      875.74449      4.6318177
             30      674.00128      3.9972689      674.00128      3.9972689      674.00128      3.9972689
             35      520.84752      3.6486865      520.84752      3.6486865      520.84752      3.6486865
             40      411.02806      3.0290677      411.02806      3.0290677      411.02806      3.0290677
             45      320.97441      2.8673456      320.97441      2.8673456      320.97441      2.8673456
             50      261.64692      2.7581711      261.64692      2.7581711      261.64692      2.7581711
             55      207.35332      2.3205691      207.35332      2.3205691      207.35332      2.3205691
             60      173.64388      2.3920301      173.64388      2.3920301      173.64388      2.3920301
             65      141.15083      1.9493271      141.15083      1.9493271      141.15083      1.9493271
             70      115.11618      1.7896394      115.11618      1.7896394      115.11618      1.7896394
             75       99.36423      1.5795247       99.36423      1.5795247       99.36423      1.5795247
             80      82.226852      1.5439163      82.226852      1.5439163      82.226852      1.5439163
             85      70.467316      1.2418347      70.467316      1.2418347      70.467316      1.2418347
             90      61.723704      1.6082822      61.723704      1.6082822      61.723704      1.6082822
             95      51.311367      1.0453768      51.311367      1.0453768      51.311367      1.0453768
            100      43.792954     0.95023567      43.792954     0.95023567      43.792954     0.95023567
            105      39.403825      1.3705848      39.403825      1.3705848      39.403825      1.3705848
            110      33.540158      0.8737548      33.540158      0.8737548      33.540158      0.8737548
            115      28.824275      1.0446295      28.824275      1.0446295      28.824275      1.0446295
            120      25.565224     0.82833651      25.565224     0.82833651      25.565224     0.82833651
            125      24.187806      1.0517523      24.187806      1.0517523      24.187806      1.0517523
            130      20.720821     0.86389866      20.720821     0.86389866      20.720821     0.86389866
            135      17.557189     0.67186047      17.557189     0.67186047      17.557189     0.67186047
            140      16.117867     0.76273313      16.117867     0.76273313      16.117867     0.76273313
            145      14.453031      1.1004265      14.453031      1.1004265      14.453031      1.1004265
            150      12.696443     0.49929888      12.696443     0.49929888      12.696443     0.49929888
            155      10.982608     0.54511549      10.982608     0.54511549      10.982608     0.54511549
            160      9.9489982      0.5818044      9.9489982      0.5818044      9.9489982      0.5818044
            165      9.7734871     0.49025962      9.7734871     0.49025962      9.7734871     0.49025962
            170      8.2282722      0.4123343      8.2282722      0.4123343      8.2282722      0.4123343
            175      7.0424838     0.62802624      7.0424838     0.62802624      7.0424838     0.62802624
            180      6.8857393      0.4361498      6.8857393      0.4361498      6.8857393      0.4361498
            185       6.391837     0.44972415       6.391837     0.44972415       6.391837     0.44972415
            190      5.0255771     0.26690612      5.0255771     0.26690612      5.0255771     0.26690612
            195      4.8029063      0.3520871      4.8029063      0.3520871      4.8029063      0.3520871
            200      4.7292966     0.54623016      4.7292966     0.54623016      4.7292966     0.54623016
