#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      100.65781      1.0910805      100.65781      1.0910805      100.65781      1.0910805
              1      296.57598      1.6948261      296.57598      1.6948261      296.57598      1.6948261
              2      483.81674      2.1985118      483.81674      2.1985118      483.81674      2.1985118
              3      657.40536      2.5592272      657.40536      2.5592272      657.40536      2.5592272
              4      806.33933      2.8689267      806.33933      2.8689267      806.33933      2.8689267
              5      937.93554      2.9998598      937.93554      2.9998598      937.93554      2.9998598
              6      1040.7705      3.0771032      1040.7705      3.0771032      1040.7705      3.0771032
              7       1135.894      3.2505752       1135.894      3.2505752       1135.894      3.2505752
              8      1200.9003      3.2802727      1200.9003      3.2802727      1200.9003      3.2802727
              9      1242.6317      3.2457714      1242.6317      3.2457714      1242.6317      3.2457714
             10      1282.6214      3.3363493      1282.6214      3.3363493      1282.6214      3.3363493
             11      1304.2714      3.3248039      1304.2714      3.3248039      1304.2714      3.3248039
             12      1308.7883      3.3104884      1308.7883      3.3104884      1308.7883      3.3104884
             13      1312.2097      3.3282536      1312.2097      3.3282536      1312.2097      3.3282536
             14      1303.8777      3.1845518      1303.8777      3.1845518      1303.8777      3.1845518
             15      1292.7151      3.2673939      1292.7151      3.2673939      1292.7151      3.2673939
             16      1269.0187      3.1009685      1269.0187      3.1009685      1269.0187      3.1009685
             17      1248.1177        3.10432      1248.1177        3.10432      1248.1177        3.10432
             18       1223.929      3.0797802       1223.929      3.0797802       1223.929      3.0797802
             19      1189.6589      2.8662288      1189.6589      2.8662288      1189.6589      2.8662288
             20      1163.2542      2.9031027      1163.2542      2.9031027      1163.2542      2.9031027
             21      1133.6247      2.8639941      1133.6247      2.8639941      1133.6247      2.8639941
             22      1105.3345      2.8193431      1105.3345      2.8193431      1105.3345      2.8193431
             23      1070.7008      2.6253534      1070.7008      2.6253534      1070.7008      2.6253534
             24      1038.4287      2.6433943      1038.4287      2.6433943      1038.4287      2.6433943
             25      1006.4855      2.6693103      1006.4855      2.6693103      1006.4855      2.6693103
             26      973.76009      2.5520494      973.76009      2.5520494      973.76009      2.5520494
             27      948.40373      2.6494991      948.40373      2.6494991      948.40373      2.6494991
             28      913.96751      2.5304898      913.96751      2.5304898      913.96751      2.5304898
             29      884.02806      2.3597633      884.02806      2.3597633      884.02806      2.3597633
             30      857.18166      2.3487125      857.18166      2.3487125      857.18166      2.3487125
             31      827.35535      2.3084402      827.35535      2.3084402      827.35535      2.3084402
             32      802.74946      2.3139671      802.74946      2.3139671      802.74946      2.3139671
             33      771.48712      2.1804021      771.48712      2.1804021      771.48712      2.1804021
             34      745.50722      2.1664057      745.50722      2.1664057      745.50722      2.1664057
             35      722.64214      2.1288679      722.64214      2.1288679      722.64214      2.1288679
             36      696.97847       2.103934      696.97847       2.103934      696.97847       2.103934
             37      668.18426      1.9436778      668.18426      1.9436778      668.18426      1.9436778
             38      651.70206      1.9571994      651.70206      1.9571994      651.70206      1.9571994
             39      624.54151      1.8961407      624.54151      1.8961407      624.54151      1.8961407
             40      604.84919      1.8595745      604.84919      1.8595745      604.84919      1.8595745
             41      583.31935      1.8133797      583.31935      1.8133797      583.31935      1.8133797
             42      567.82768      1.8878019      567.82768      1.8878019      567.82768      1.8878019
             43      543.85393      1.7498924      543.85393      1.7498924      543.85393      1.7498924
             44      526.85268      1.7049554      526.85268      1.7049554      526.85268      1.7049554
             45      509.61181      1.7478062      509.61181      1.7478062      509.61181      1.7478062
             46      496.16088      1.7787562      496.16088      1.7787562      496.16088      1.7787562
             47      474.67102      1.6290103      474.67102      1.6290103      474.67102      1.6290103
             48      459.82224      1.6437599      459.82224      1.6437599      459.82224      1.6437599
             49      446.47099       1.585705      446.47099       1.585705      446.47099       1.585705
             50      446.47099       1.585705      446.47099       1.585705      446.47099       1.585705
