#        eta_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1147.0665      46.866253      1147.0665      46.866253      1147.0665      46.866253
           -4.9       1186.835      29.701309       1186.835      29.701309       1186.835      29.701309
           -4.8      1431.5166      40.527244      1431.5166      40.527244      1431.5166      40.527244
           -4.7      1651.4411      48.622469      1651.4411      48.622469      1651.4411      48.622469
           -4.6      1773.1122      44.446181      1773.1122      44.446181      1773.1122      44.446181
           -4.5      2004.3056      48.911421      2004.3056      48.911421      2004.3056      48.911421
           -4.4      2248.6909       52.74824      2248.6909       52.74824      2248.6909       52.74824
           -4.3      2426.3913      55.494745      2426.3913      55.494745      2426.3913      55.494745
           -4.2      2644.2656      65.652729      2644.2656      65.652729      2644.2656      65.652729
           -4.1      2896.6649       59.08324      2896.6649       59.08324      2896.6649       59.08324
             -4       3120.912      64.204672       3120.912      64.204672       3120.912      64.204672
           -3.9      3339.1901      54.763538      3339.1901      54.763538      3339.1901      54.763538
           -3.8       3765.896      79.933388       3765.896      79.933388       3765.896      79.933388
           -3.7       3849.724      76.792353       3849.724      76.792353       3849.724      76.792353
           -3.6      4214.5363      87.541145      4214.5363      87.541145      4214.5363      87.541145
           -3.5      4342.9958      69.546336      4342.9958      69.546336      4342.9958      69.546336
           -3.4      4528.2231      59.983561      4528.2231      59.983561      4528.2231      59.983561
           -3.3      4843.3831       76.76699      4843.3831       76.76699      4843.3831       76.76699
           -3.2      5092.9894      72.346238      5092.9894      72.346238      5092.9894      72.346238
           -3.1      5300.5501      75.602571      5300.5501      75.602571      5300.5501      75.602571
             -3      5685.2266      90.660435      5685.2266      90.660435      5685.2266      90.660435
           -2.9      5739.0028      82.363453      5739.0028      82.363453      5739.0028      82.363453
           -2.8      6087.9399      87.492485      6087.9399      87.492485      6087.9399      87.492485
           -2.7      6246.8345      89.295914      6246.8345      89.295914      6246.8345      89.295914
           -2.6       6516.571      88.903891       6516.571      88.903891       6516.571      88.903891
           -2.5      6549.1009      79.410463      6549.1009      79.410463      6549.1009      79.410463
           -2.4      6755.1895      92.929768      6755.1895      92.929768      6755.1895      92.929768
           -2.3      6794.0607      87.159395      6794.0607      87.159395      6794.0607      87.159395
           -2.2      7199.5467      110.28381      7199.5467      110.28381      7199.5467      110.28381
           -2.1      7227.9462      96.347078      7227.9462      96.347078      7227.9462      96.347078
             -2      7347.1941      99.895542      7347.1941      99.895542      7347.1941      99.895542
           -1.9      7516.6378      91.761986      7516.6378      91.761986      7516.6378      91.761986
           -1.8      7657.3701      97.125093      7657.3701      97.125093      7657.3701      97.125093
           -1.7      7655.7697      83.938143      7655.7697      83.938143      7655.7697      83.938143
           -1.6      7909.8497      111.38499      7909.8497      111.38499      7909.8497      111.38499
           -1.5       7871.398      97.117839       7871.398      97.117839       7871.398      97.117839
           -1.4      7932.5121      98.793575      7932.5121      98.793575      7932.5121      98.793575
           -1.3      7918.0129      100.76601      7918.0129      100.76601      7918.0129      100.76601
           -1.2      7802.1711      92.434679      7802.1711      92.434679      7802.1711      92.434679
           -1.1      7872.7473      99.058684      7872.7473      99.058684      7872.7473      99.058684
             -1      7864.5696      92.233063      7864.5696      92.233063      7864.5696      92.233063
