# dR_bb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            0.4      292.41317      8.4737086      292.41317      8.4737086      292.41317      8.4737086
            1.2      144.39792      4.7010983      144.39792      4.7010983      144.39792      4.7010983
              2      147.05603      5.8654035      147.05603      5.8654035      147.05603      5.8654035
            2.4      195.21419      7.2959277      195.21419      7.2959277      195.21419      7.2959277
              3      142.53884      5.2252652      142.53884      5.2252652      142.53884      5.2252652
            3.4      23.302786      3.9226827      23.302786      3.9226827      23.302786      3.9226827
              4      3.3464268     0.73022976      3.3464268     0.73022976      3.3464268     0.73022976
            4.5     0.13264693    0.075827416     0.13264693    0.075827416     0.13264693    0.075827416
              5     0.13264693    0.075827416     0.13264693    0.075827416     0.13264693    0.075827416
