#         y_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1.3780782     0.70419014      1.3780782     0.70419014      1.3780782     0.70419014
           -4.9     0.98712849     0.72938263     0.98712849     0.72938263     0.98712849     0.72938263
           -4.8      6.8783464      2.0671835      6.8783464      2.0671835      6.8783464      2.0671835
           -4.7      14.757833       3.610643      14.757833       3.610643      14.757833       3.610643
           -4.6      72.750041      10.463172      72.750041      10.463172      72.750041      10.463172
           -4.5      111.88299      13.892645      111.88299      13.892645      111.88299      13.892645
           -4.4       220.2883      13.791498       220.2883      13.791498       220.2883      13.791498
           -4.3      396.81935      20.164129      396.81935      20.164129      396.81935      20.164129
           -4.2      640.59451      23.953446      640.59451      23.953446      640.59451      23.953446
           -4.1       948.8758      32.310607       948.8758      32.310607       948.8758      32.310607
             -4      1303.9245      34.084521      1303.9245      34.084521      1303.9245      34.084521
           -3.9      1669.6318      43.407795      1669.6318      43.407795      1669.6318      43.407795
           -3.8      2264.3215      64.376164      2264.3215      64.376164      2264.3215      64.376164
           -3.7      2722.1006      47.714487      2722.1006      47.714487      2722.1006      47.714487
           -3.6      3177.6413      64.408516      3177.6413      64.408516      3177.6413      64.408516
           -3.5      3763.9671      64.988772      3763.9671      64.988772      3763.9671      64.988772
           -3.4      4068.9489      73.148298      4068.9489      73.148298      4068.9489      73.148298
           -3.3       4617.673      64.764731       4617.673      64.764731       4617.673      64.764731
           -3.2      5067.3431      68.098958      5067.3431      68.098958      5067.3431      68.098958
           -3.1      5547.4565      82.737538      5547.4565      82.737538      5547.4565      82.737538
             -3      5986.4573      76.102765      5986.4573      76.102765      5986.4573      76.102765
           -2.9      6192.5219      68.099115      6192.5219      68.099115      6192.5219      68.099115
           -2.8      6568.4915      79.453766      6568.4915      79.453766      6568.4915      79.453766
           -2.7      7090.0338      94.083523      7090.0338      94.083523      7090.0338      94.083523
           -2.6      7216.4893      96.506821      7216.4893      96.506821      7216.4893      96.506821
           -2.5      7486.1433       93.26655      7486.1433       93.26655      7486.1433       93.26655
           -2.4      7664.9425      91.509124      7664.9425      91.509124      7664.9425      91.509124
           -2.3      8007.8144      105.26902      8007.8144      105.26902      8007.8144      105.26902
           -2.2      8045.3808      98.910991      8045.3808      98.910991      8045.3808      98.910991
           -2.1      8348.1506      106.68761      8348.1506      106.68761      8348.1506      106.68761
             -2      8358.7563      101.58486      8358.7563      101.58486      8358.7563      101.58486
           -1.9      8642.6605      114.18405      8642.6605      114.18405      8642.6605      114.18405
           -1.8      8757.7041      104.95323      8757.7041      104.95323      8757.7041      104.95323
           -1.7       8615.224      108.06509       8615.224      108.06509       8615.224      108.06509
           -1.6       8645.769      98.991106       8645.769      98.991106       8645.769      98.991106
           -1.5      8928.3621      106.33725      8928.3621      106.33725      8928.3621      106.33725
           -1.4      8981.0532      101.49227      8981.0532      101.49227      8981.0532      101.49227
           -1.3      9028.3339      104.28417      9028.3339      104.28417      9028.3339      104.28417
           -1.2      9116.2137      106.24527      9116.2137      106.24527      9116.2137      106.24527
           -1.1      9007.7484      102.37371      9007.7484      102.37371      9007.7484      102.37371
