#   total-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      23109.728      11.480001      23109.728      11.480001      23109.728      11.480001
              1      23109.728      11.480001      23109.728      11.480001      23109.728      11.480001
