# dphi_Z_bjet1-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS-1bjet
              0      580.86701      17.422536      580.86701      17.422536      580.86701      17.422536
            0.6      606.86895      12.874285      606.86895      12.874285      606.86895      12.874285
            1.2      792.05195      12.454812      792.05195      12.454812      792.05195      12.454812
            1.8      1116.2103      16.811956      1116.2103      16.811956      1116.2103      16.811956
            2.2      1711.4687      17.859303      1711.4687      17.859303      1711.4687      17.859303
            2.6      2874.0949      28.649061      2874.0949      28.649061      2874.0949      28.649061
            2.9       4621.195       36.56127       4621.195       36.56127       4621.195       36.56127
          3.142       4621.195       36.56127       4621.195       36.56127       4621.195       36.56127
