# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      31.885021     0.68984333      31.885021     0.68984333      31.885021     0.68984333
            0.6      103.18701      1.2865792      103.18701      1.2865792      103.18701      1.2865792
            1.2      188.26389        1.92752      188.26389        1.92752      188.26389        1.92752
            1.8      243.56092      1.7570937      243.56092      1.7570937      243.56092      1.7570937
            2.4      260.00919      2.3517144      260.00919      2.3517144      260.00919      2.3517144
            2.7      265.08792      2.5173851      265.08792      2.5173851      265.08792      2.5173851
              3      162.70206      1.7501899      162.70206      1.7501899      162.70206      1.7501899
            3.3      54.284808     0.59629571      54.284808     0.59629571      54.284808     0.59629571
              4      11.588346     0.24922427      11.588346     0.24922427      11.588346     0.24922427
              5      11.588346     0.24922427      11.588346     0.24922427      11.588346     0.24922427
